geneID	Endocrine	Immune	Exocrine	ActivatedStroma	ClassicalTumor	NormalStroma	BasalTumor
ACAN	1.009330e+00	5.742902e-01	2.238839e-01	1.797803e+00	2.895285e-01	1.391617e+00	0
ACAP1	1.095616e+00	4.897307e+00	6.018921e-01	4.468433e-01	6.260796e-01	1.024080e+00	5.985333e-01
ACAP2	6.231600e-01	1.110291e+00	3.693115e-01	9.510197e-01	7.673229e-01	8.968182e-01	6.704336e-01
ACAP3	1.412969e+00	5.225855e-01	1.637188e-01	6.902517e-01	9.725105e-01	1.078258e+00	1.084306e+00
ACAT1	2.033803e+00	1.268895e+00	2.474856e+00	7.393158e-01	4.593700e-01	1.406906e+00	5.725816e-01
ACAT2	1.348846e+00	9.344523e-01	7.653244e-01	8.064522e-01	8.690649e-01	7.485465e-01	7.075642e-01
ACBD3	7.509791e-01	5.005694e-01	5.979155e-01	1.054455e+00	8.526735e-01	7.069386e-01	6.602416e-01
ACBD4	5.588100e-01	1.008088e+00	8.104235e-01	2.428392e-01	1.131727e+00	8.932971e-01	9.293998e-01
ACBD5	5.385778e-01	4.307577e-01	5.646805e-01	6.065180e-01	1.122985e+00	7.641750e-01	6.562530e-01
ACBD6	8.129420e-01	5.417335e-01	6.861667e-01	6.999491e-01	7.533593e-01	7.491185e-01	1.065636e+00
ACBD7	0	0	0	0	5.137735e-01	0	1.018204e+00
ACCN1	3.280284e+00	1.753510e-01	6.754878e-01	0	0	4.242000e-01	0
ACCN2	5.386416e-01	7.742632e-02	0	7.149002e-01	3.022607e-01	1.588910e+00	5.483103e-01
ACCN3	3.162296e-01	4.397461e-01	0	8.389091e-02	7.242192e-01	3.902566e-01	3.708503e-01
ACCN4	9.186846e-01	2.062199e-02	0	3.837637e-01	1.049826e-01	1.389544e-01	1.490027e-01
ACCN5	0	1.818255e-02	0	0	1.246401e-02	9.437388e-02	0
ACCS	6.642971e-01	1.262920e+00	5.860826e-01	4.075836e-01	1.054787e+00	8.815703e-01	6.323584e-01
ACCSL	0	0	0	0	0	4.863024e-02	0
ACD	5.016334e-01	8.441827e-01	4.293576e-01	5.284969e-01	8.333078e-01	5.648208e-01	1.253562e+00
ACE	1.057957e+00	7.845497e-01	6.139734e-01	1.052398e+00	1.040230e+00	1.062377e+00	5.141791e-01
ACE2	2.301190e+00	1.208542e+00	0	0	1.657120e+00	2.350602e+00	0
ACER1	0	1.543006e+00	9.490901e-02	0	0	0	0
ACER2	1.305738e-01	0	5.444357e-01	1.703099e-01	1.173542e+00	3.416245e-01	0
ACER3	9.164176e-01	7.855108e-01	6.154968e-01	8.687634e-01	7.996041e-01	7.498620e-01	5.760820e-01
ACHE	1.004571e+00	1.404460e+00	0	0	1.689806e+00	7.386580e-01	3.540142e-01
ACIN1	9.032047e-01	1.265763e+00	6.669448e-01	8.065638e-01	1.150043e+00	1.018170e+00	1.058508e+00
ACLY	1.881525e+00	1.052518e+00	7.644612e-01	1.093142e+00	8.315778e-01	1.023034e+00	8.442456e-01
ACMSD	3.448753e+00	0	0	0	6.393082e-01	6.064673e-01	0
ACN9	5.815253e-01	5.194603e-01	8.505789e-01	5.962733e-01	7.044911e-01	9.608186e-01	5.870357e-01
ACO1	1.062224e+00	9.780166e-01	1.420407e+00	1.003052e+00	7.475825e-01	1.195998e+00	5.907787e-01
ACO2	1.084656e+00	8.475553e-01	1.050983e+00	7.920694e-01	1.015870e+00	1.303521e+00	1.021896e+00
ACOT1	8.855194e-01	9.390860e-01	6.965827e-01	9.923172e-01	7.777073e-01	1.295694e+00	6.838248e-01
ACOT11	1.830832e-01	6.140038e-02	4.673490e-01	3.788741e-01	1.309886e+00	5.852173e-01	1.211083e+00
ACOT12	2.847728e-01	1.117340e-01	0	0	0	5.462609e-02	0
ACOT13	1.210505e+00	8.513503e-01	6.571637e-01	8.605318e-01	7.047513e-01	9.330839e-01	6.512823e-01
ACOT2	8.485791e-01	8.253994e-01	7.665368e-01	7.451472e-01	7.814140e-01	1.132531e+00	6.620100e-01
ACOT4	0	2.459699e-01	8.399140e-01	4.186632e-01	8.461997e-01	1.258375e-01	1.207800e+00
ACOT6	1.096366e+00	2.195277e-01	7.444847e-01	6.624992e-02	0	0	9.046453e-02
ACOT7	7.896227e-01	5.513714e-01	5.787505e-01	7.596118e-01	9.462946e-01	8.905171e-01	1.227742e+00
ACOT8	5.378426e-01	6.775649e-01	7.687399e-01	4.384769e-01	1.026810e+00	5.749195e-01	1.324599e+00
ACOT9	5.215349e-01	6.970811e-01	6.477984e-01	9.336850e-01	8.834404e-01	8.176462e-01	1.192153e+00
ACOX1	6.028389e-01	9.541876e-01	1.276189e+00	8.576423e-01	1.067179e+00	1.071918e+00	7.648552e-01
ACOX2	1.544522e+00	8.558408e-01	5.676860e-01	1.113217e+00	4.472687e-01	1.880629e+00	0
ACOX3	7.475457e-01	9.946463e-01	1.398534e+00	4.365808e-01	9.210513e-01	6.848784e-01	1.017499e+00
ACOXL	1.653314e+00	9.410957e-01	0	1.432131e-01	0	0	4.808647e-01
ACP1	6.092490e-01	7.563851e-01	1.168824e+00	6.157699e-01	9.558643e-01	8.332628e-01	1.166791e+00
ACP2	9.572679e-01	9.351146e-01	1.137131e+00	1.067908e+00	8.661974e-01	8.047306e-01	1.061766e+00
ACP5	1.128920e+00	1.841907e+00	9.313787e-01	1.852785e+00	9.905983e-01	9.692961e-01	5.814748e-01
ACP6	7.722582e-01	1.430249e-01	6.513497e-01	4.693964e-01	1.177332e+00	5.371046e-01	1.212579e+00
ACPL2	6.017647e-01	7.744052e-01	7.004823e-01	1.164616e+00	6.205852e-01	7.765199e-01	5.784363e-01
ACPP	2.836064e+00	6.797115e-01	1.806274e-02	5.521041e-01	5.355703e-01	6.177100e-01	3.006092e-01
ACPT	0	0	1.725094e-02	0	0	3.465309e-02	3.048933e-02
ACR	8.502245e-01	8.100636e-01	0	0	0	9.357627e-01	3.472115e-03
ACRBP	9.635086e-01	1.765803e+00	6.219789e-01	4.041311e-01	3.442617e-01	6.552232e-01	0
