sampleID	D16.16_RICKMAN-HEAD-AND-NECK-CANCER-D	D8.3_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D6.6_GNF2-SPRR1B	D13.5_SINGH-NFE2L2-TARGETS	D11.9_GNF2-BUB1	D15.5_FARMER-BREAST-CANCER-CLUSTER-5	D15.4_BARRIER-CANCER-RELAPSE-NORMAL-SAMPLE-DN	D9.7_EPITHELIAL-CELL-DIFFERENTIATION	D10.8_BIOCARTA-TCAPOPTOSIS-PATHWAY	D8.1_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC
TCGA-22-4604-01A-01R-1201-07	0	2.425278e-01	4.233381e-02	5.796530e-01	0	1.456838e+00	7.469956e-01	1.116508e-01	4.420703e-01	2.929081e+00
TCGA-22-4605-01A-21R-2125-07	1.099163e-01	1.786111e+00	8.616139e-01	1.086265e+00	0	8.544362e-01	1.221968e+00	1.596269e-01	3.222659e-01	3.766681e+00
TCGA-22-4607-01A-01R-1201-07	6.691579e-02	1.382663e-01	7.869048e-01	2.210933e-01	0	1.068415e+00	1.103926e+00	7.154015e-01	1.816207e-01	6.245891e+00
TCGA-22-4609-11A-01R-2125-07	0	3.681511e+00	0	0	0	0	1.015402e+00	0	0	4.644843e+00
TCGA-22-4609-01A-21R-2125-07	0	1.797879e+00	7.874139e-01	5.003268e-01	0	9.164718e-01	9.722062e-01	4.864727e-01	4.224878e-01	3.204586e+00
TCGA-22-4613-01A-01R-1443-07	0	5.055041e-01	4.054349e-01	7.127204e-01	2.433419e-01	3.337228e-01	7.047854e-01	9.001079e-01	5.244972e-01	3.773382e+00
TCGA-22-5471-11A-01R-1635-07	9.031722e-03	3.619727e+00	0	0	0	6.120288e-02	1.094055e+00	2.557640e-02	0	4.698353e+00
TCGA-22-5471-01A-01R-1635-07	0	0	4.177193e-01	7.582428e-01	0	8.676321e-01	8.372706e-01	3.776451e-01	6.041316e-01	4.296617e+00
TCGA-22-5472-11A-11R-1635-07	0	3.266354e+00	0	1.163302e-01	0	7.090379e-01	9.706825e-01	0	0	3.923761e+00
TCGA-22-5472-01A-01R-1635-07	7.632354e-02	1.958218e+00	1.252508e+00	2.840520e-01	0	5.724130e-01	1.447423e+00	9.975384e-01	0	4.867268e+00
TCGA-22-5473-01A-01R-1635-07	0	8.448234e-01	4.319807e-01	1.299546e+00	7.553501e-02	9.728426e-01	7.266365e-01	2.251434e-01	5.577225e-02	4.139573e+00
TCGA-22-5474-01A-01R-1635-07	9.623310e-02	6.878782e-01	1.050839e-02	1.423770e+00	0	5.574743e-01	1.213477e+00	2.420367e-01	8.547350e-01	4.191028e+00
TCGA-22-5477-01A-01R-1635-07	0	1.321911e+00	0	1.559490e+00	2.402442e-01	3.696848e-01	5.778429e-01	1.777708e-01	1.603534e-01	2.834159e+00
TCGA-22-5478-11A-11R-1635-07	0	3.562770e+00	0	0	0	0	9.774140e-01	0	0	4.571863e+00
TCGA-22-5478-01A-01R-1635-07	1.600256e-01	1.175952e+00	4.591373e-01	9.576934e-02	6.761159e-01	1.626260e+00	8.874391e-01	5.925343e-01	2.325260e-01	3.675632e+00
TCGA-22-5479-01A-31R-1949-07	1.557573e-01	4.040529e-01	4.374210e-01	1.177521e+00	0	1.170218e+00	9.113113e-01	4.237838e-01	4.196478e-01	3.804176e+00
TCGA-22-5480-01A-01R-1635-07	0	8.461377e-01	0	1.036266e-01	3.347501e-01	1.132565e+00	1.964608e-01	2.144256e-01	1.108460e+00	3.348211e+00
TCGA-22-5481-11A-01R-1949-07	0	3.489377e+00	0	0	0	0	1.205549e+00	1.015262e-02	3.272663e-02	4.832598e+00
TCGA-22-5481-01A-31R-1949-07	0	1.769026e-01	0	0	1.253813e+00	7.824234e-01	8.940976e-01	0	7.914604e-01	3.931573e+00
TCGA-22-5482-11A-01R-1635-07	0	3.463399e+00	0	0	0	5.122340e-01	9.442009e-01	0	0	3.915569e+00
TCGA-22-5482-01A-01R-1635-07	0	2.869787e-01	4.556747e-01	1.192495e+00	0	1.707629e+00	9.857659e-01	0	0	4.286185e+00
TCGA-22-5483-11A-11R-1820-07	0	3.377117e+00	0	0	0	1.182565e-01	1.016633e+00	0	0	4.882707e+00
TCGA-22-5483-01A-01R-1820-07	1.203092e-01	5.792822e-01	0	7.489081e-01	9.625454e-01	1.434862e+00	8.184634e-01	0	3.518324e-01	3.983826e+00
TCGA-22-5485-01A-01R-1635-07	0	1.415429e+00	2.514959e-01	1.535775e+00	1.901039e-01	6.203871e-01	1.127418e+00	0	0	4.106328e+00
TCGA-22-5489-11A-01R-1635-07	0	3.335353e+00	0	2.759961e-02	0	1.912298e-01	1.103521e+00	8.374104e-02	0	4.500717e+00
TCGA-22-5489-01A-01R-1635-07	0	9.327125e-01	0	2.728471e-01	2.927337e-01	1.540511e+00	2.268078e-01	0	1.047828e+00	3.271520e+00
TCGA-22-5491-11A-01R-1858-07	0	3.614291e+00	0	0	0	0	1.013603e+00	0	0	4.857560e+00
TCGA-22-5491-01A-01R-1635-07	2.154726e-01	2.354027e-01	1.458362e+00	7.566314e-01	0	3.874043e-02	7.588995e-01	1.654515e+00	1.366795e-01	5.027045e+00
TCGA-22-5492-01A-01R-1635-07	0	1.403571e+00	6.483479e-01	1.593948e-01	3.251951e-02	6.350036e-01	8.427913e-01	1.056475e+00	3.851144e-01	3.892231e+00
TCGA-22-A5C4-01A-12R-A27Q-07	0	1.191769e+00	6.253800e-01	1.839087e-01	4.767094e-01	6.944016e-01	8.859614e-01	8.453324e-01	0	4.240055e+00
TCGA-33-4532-01A-01R-1201-07	0	9.246233e-01	1.040593e+00	9.898375e-01	3.205516e-01	2.047492e-01	9.929985e-01	1.075724e+00	0	4.864727e+00
TCGA-33-4533-01A-01R-1201-07	0	5.032164e-01	0	3.644305e-01	1.224219e+00	1.782030e+00	2.556456e-01	0	0	2.848294e+00
TCGA-33-4538-01A-01R-1201-07	1.756076e-01	6.144255e-01	4.876698e-01	1.346484e+00	0	6.684184e-01	7.390191e-01	5.756922e-01	2.381003e-01	4.028326e+00
TCGA-33-4547-01A-01R-1201-07	7.118429e-02	1.021862e+00	8.308474e-01	4.196869e-01	0	1.051646e+00	6.577747e-01	8.869288e-01	4.095355e-01	4.053577e+00
TCGA-33-4566-01A-01R-1443-07	0	1.085292e-01	0	1.370462e-01	0	7.109303e-01	1.232649e+00	0	2.700396e-01	7.385811e+00
TCGA-33-4582-01A-01R-1443-07	0	0	9.273460e-01	4.617283e-01	6.896084e-01	5.005917e-01	5.786866e-01	1.055245e+00	0	5.208952e+00
TCGA-33-4583-01A-01R-1443-07	0	2.692879e-01	6.232766e-01	1.438304e+00	0	2.240442e-01	6.742313e-01	3.486604e-01	0	5.377457e+00
TCGA-33-4586-01A-01R-1443-07	0	8.095269e-01	1.316648e-01	1.581764e+00	1.104946e-02	1.006770e+00	5.747152e-01	0	0	4.397826e+00
TCGA-33-4587-11A-01R-2125-07	0	3.027887e+00	0	0	0	0	6.698569e-01	7.978790e-02	0	5.756262e+00
TCGA-33-4587-01A-11R-2125-07	0	3.591991e-01	0	6.316869e-02	1.612861e+00	1.102803e+00	9.735939e-01	2.659575e-01	3.432234e-01	3.442149e+00
TCGA-33-4589-01A-01R-1443-07	0	0	1.120281e+00	1.578095e-01	0	8.320776e-01	3.514577e-01	0	0	6.816605e+00
TCGA-33-6737-11A-01R-1820-07	0	3.365107e+00	0	0	0	3.448461e-01	7.518742e-01	0	0	4.277113e+00
TCGA-33-6737-01A-11R-1820-07	0	1.566594e+00	3.126089e-01	4.551233e-01	1.976416e-01	9.880739e-01	1.810645e+00	0	9.505587e-02	6.172372e+00
TCGA-33-6738-01A-11R-1949-07	1.931381e-01	8.912785e-01	7.391557e-01	8.419409e-01	5.084848e-01	2.181665e-01	1.531690e+00	7.750726e-01	4.616560e-01	5.306891e+00
TCGA-33-A4WN-01A-11R-A262-07	0	6.239891e-01	7.368360e-01	1.144966e+00	0	4.299739e-01	1.158806e+00	7.888752e-01	3.129116e-01	3.992093e+00
TCGA-33-A5GW-01A-11R-A27Q-07	9.505351e-02	9.747263e-01	1.390764e+00	1.199924e+00	0	1.217074e-01	1.219069e+00	1.178411e+00	0	4.817970e+00
TCGA-33-AAS8-01A-11R-A405-07	0	1.029188e+00	2.421169e-01	1.553733e+00	3.915306e-01	1.860876e-01	9.645418e-01	1.760641e-01	0	4.056618e+00
TCGA-33-AASB-01A-11R-A405-07	0	7.999893e-01	5.614222e-01	6.008604e-01	8.231335e-01	5.481785e-01	2.196943e+00	0	0	5.908605e+00
TCGA-33-AASD-01A-11R-A405-07	0	5.686480e-02	1.997563e-01	1.150615e+00	0	1.381441e+00	1.092263e+00	0	0	4.692040e+00
TCGA-33-AASI-01A-22R-A405-07	0	5.050911e-01	5.870113e-01	2.893280e-01	0	4.999635e-01	1.896141e+00	5.908742e-01	4.974501e-01	6.163893e+00
TCGA-33-AASJ-01A-11R-A405-07	0	1.431844e-01	7.156143e-01	1.069463e+00	0	2.188148e-01	1.164612e+00	9.645082e-01	0	4.314835e+00
TCGA-33-AASL-01A-11R-A405-07	0	0	8.466229e-01	9.729287e-01	0	0	1.440242e+00	5.290384e-01	1.688888e-01	4.708391e+00
TCGA-34-2596-01A-01R-0851-07	0	1.040067e+00	0	1.546457e+00	6.739842e-02	7.938769e-01	5.727183e-01	2.572735e-03	4.516039e-01	3.024102e+00
TCGA-34-2600-01A-01R-0851-07	0	1.006245e+00	1.313623e+00	2.983673e-02	3.828021e-01	6.033133e-02	1.095350e+00	1.491479e+00	1.216372e-02	4.031354e+00
TCGA-34-2608-01A-02R-0851-07	7.309710e-02	1.496540e+00	5.501639e-01	7.991866e-01	0	1.398338e+00	8.810652e-01	7.514092e-04	4.431325e-01	4.147754e+00
TCGA-34-5231-01A-21R-1820-07	0	5.346354e-01	4.087991e-01	4.915007e-01	2.040450e-01	1.190609e+00	7.192430e-01	7.539452e-01	4.458316e-01	3.337774e+00
TCGA-34-5232-01A-21R-1820-07	0	9.494573e-01	1.082999e+00	4.606313e-01	0	0	1.136955e+00	1.364259e+00	7.588562e-01	4.307169e+00
TCGA-34-5234-01A-01R-1635-07	9.017221e-02	1.064612e+00	1.026204e+00	2.382645e-01	2.018426e-03	7.264431e-01	5.399609e-01	4.115026e-01	4.331671e-01	5.655308e+00
TCGA-34-5236-01A-21R-1820-07	0	4.863887e-01	1.486775e-01	9.079700e-01	1.370392e-01	1.998433e+00	9.180992e-01	0	3.243371e-01	3.399857e+00
TCGA-34-5239-01A-21R-1820-07	0	7.131457e-01	0	1.954058e-01	0	1.926445e+00	4.562033e-01	2.805180e-01	9.920224e-01	2.900800e+00
TCGA-34-5240-01A-01R-1443-07	0	3.990144e-01	0	1.357900e+00	0	5.914775e-01	5.535145e-01	2.343156e-01	2.159951e-01	4.565459e+00
TCGA-34-5241-01A-01R-1443-07	0	8.828696e-01	1.018513e+00	2.817029e-01	0	7.095076e-01	7.688672e-01	7.592914e-01	2.007322e-01	5.601540e+00
TCGA-34-5927-01A-11R-1820-07	0	7.964602e-01	4.151168e-01	3.400385e-01	9.361729e-01	1.072578e+00	8.066862e-01	1.049748e+00	1.968580e-01	2.666312e+00
TCGA-34-5928-01A-11R-1820-07	0	7.023733e-01	0	1.167474e-01	5.479171e-01	2.158014e+00	7.469568e-01	0	2.690010e-01	3.476907e+00
TCGA-34-5929-01A-11R-1820-07	0	7.387797e-01	2.383020e-01	1.909129e-01	6.578426e-01	1.058703e+00	4.379355e-01	7.115060e-01	4.036355e-01	3.187965e+00
TCGA-34-7107-11A-01R-1949-07	0	2.960604e+00	0	6.646441e-02	0	8.016755e-01	1.106354e+00	0	2.725058e-01	4.181412e+00
TCGA-34-7107-01A-11R-1949-07	0	8.894153e-01	1.442000e-03	1.104099e+00	0	1.282235e+00	8.432281e-01	1.126361e-01	3.289346e-01	2.667058e+00
TCGA-34-8454-11A-01R-2326-07	0	3.276880e+00	0	0	0	2.479163e-01	9.873416e-01	0	1.221897e-01	3.809552e+00
TCGA-34-8454-01A-11R-2326-07	0	1.112478e+00	8.406750e-01	7.906520e-02	0	7.216460e-01	1.078480e+00	1.041928e+00	6.170605e-01	4.517199e+00
TCGA-34-8455-01A-11R-2326-07	0	1.316635e+00	9.406563e-01	2.498823e-01	0	9.259069e-01	1.351489e+00	8.579295e-01	7.152005e-03	4.987774e+00
TCGA-34-8456-01A-21R-2326-07	0	1.039996e+00	8.839530e-02	1.027748e+00	1.957034e-01	6.311857e-01	9.828736e-01	3.865620e-01	2.818701e-01	2.451053e+00
TCGA-34-A5IX-01A-12R-A27Q-07	0	4.698233e-01	8.686632e-01	4.360264e-02	0	1.124801e+00	9.205817e-01	1.907702e-01	7.232219e-02	5.438342e+00
TCGA-37-3783-01A-01R-1201-07	0	0	9.517611e-01	2.326776e-02	0	5.081191e-01	5.383441e-01	3.472202e-01	2.672951e-01	6.695851e+00
TCGA-37-3789-01A-01R-0980-07	0	1.392318e-01	1.027362e+00	1.336144e-01	2.507392e-02	1.081147e+00	9.014208e-01	1.815037e-01	1.589351e-01	5.634522e+00
TCGA-37-3792-01A-01R-0980-07	0	4.064942e-01	0	1.365372e-01	0	6.333888e-01	1.090844e+00	0	6.510616e-01	6.537438e+00
TCGA-37-4129-01A-01R-1100-07	0	8.740124e-01	0	0	1.485919e+00	1.057178e-01	4.936611e-01	0	0	4.474560e+00
TCGA-37-4130-01A-01R-1100-07	0	4.765818e-02	0	1.609586e-01	9.824104e-01	0	4.100277e-01	6.759466e-02	6.781430e-01	6.677378e+00
TCGA-37-4132-01A-01R-1100-07	0	4.907744e-01	0	4.032182e-01	1.466839e+00	4.251001e-01	6.763459e-01	0	4.341488e-01	5.177125e+00
