sampleID	D6.6_SU-KIDNEY	D7.6_REACTOME-INITIAL-TRIGGERING-OF-COMPLEMENT	D9.6_BIOCARTA-KREB-PATHWAY	D12.7_SABATES-COLORECTAL-ADENOMA-SIZE-UP	D8.2_FARMER-BREAST-CANCER-CLUSTER-5	D11.11_ACUTE-INFLAMMATORY-RESPONSE	D10.6_AIGNER-ZEB1-TARGETS	D7.1_chryp11
TCGA-B0-4694-01A-01R-1277-07	1.675796e-01	1.433309e+00	2.897719e-01	4.818775e-01	2.208194e+00	6.787031e-02	1.524459e-01	4.370020e+00
TCGA-B0-4696-01A-01R-1277-07	0	5.567953e-01	1.421987e+00	0	3.962048e+00	0	0	0
TCGA-B0-4697-01A-01R-1277-07	0	1.180268e+00	1.770169e-01	1.233041e+00	3.328663e+00	0	0	0
TCGA-B0-4698-01A-01R-1503-07	0	8.844555e-01	1.061654e+00	1.390437e-01	3.378069e+00	0	0	1.470980e-01
TCGA-B0-4699-01A-01R-1277-07	0	6.697531e-01	2.388656e+00	2.663310e-01	3.116528e+00	0	3.316443e-01	5.717380e-01
TCGA-B0-4700-11A-01R-1541-07	1.564267e+00	0	2.333962e+00	2.930812e-01	9.700823e-01	0	1.922103e+00	2.309332e-01
TCGA-B0-4700-01A-02R-1541-07	0	1.490716e+00	1.746000e-01	3.812492e-01	3.232372e+00	1.016206e-01	0	2.523877e+00
TCGA-B0-4701-01A-01R-1277-07	0	7.000540e-01	1.239129e-01	1.020917e+00	1.750531e+00	2.352299e-02	1.157494e-01	4.650777e+00
TCGA-B0-4703-01A-01R-1277-07	0	7.910076e-01	2.959824e-01	2.407820e-01	3.878347e+00	0	5.440077e-01	1.868228e+00
TCGA-B0-4706-01A-01R-1503-07	2.074857e-01	4.853197e-01	5.908272e-01	1.038297e+00	1.584317e+00	0	8.763524e-01	2.044385e+00
TCGA-B0-4707-01A-01R-1277-07	9.259190e-02	1.740510e+00	4.244188e-01	1.159974e+00	2.014414e+00	1.497712e-01	3.625221e-01	2.027215e+00
TCGA-B0-4710-01A-01R-1503-07	9.738861e-02	2.535666e-01	3.096798e-01	9.835321e-01	1.825929e+00	2.218021e-02	1.703189e-01	3.835119e+00
TCGA-B0-4712-11A-02R-1503-07	6.673969e-01	1.005543e-01	2.740914e+00	3.430733e-01	0	0	3.338996e+00	1.633946e+00
TCGA-B0-4712-01A-01R-1503-07	0	1.860543e+00	4.159385e-01	0	3.033142e+00	1.077151e-01	0	3.100628e+00
TCGA-B0-4713-01A-01R-1277-07	4.380180e-01	1.557913e+00	2.960146e-01	1.427178e+00	1.093834e+00	1.603740e-01	0	3.172999e+00
TCGA-B0-4714-01A-01R-1277-07	0	4.263687e-01	0	1.544781e+00	1.496122e+00	0	0	3.913987e+00
TCGA-B0-4718-01A-01R-1277-07	0	5.755645e-01	3.783175e-01	9.942945e-01	2.298441e+00	1.591262e-02	7.950981e-02	2.630404e+00
TCGA-B0-4810-01A-01R-1503-07	0	8.779780e-01	4.656314e-02	8.202907e-01	2.559347e+00	1.635117e-02	1.657050e-01	2.991645e+00
TCGA-B0-4811-01A-01R-1503-07	2.585259e-01	6.754034e-01	3.062634e-01	1.482978e+00	1.536673e+00	0	3.851862e-01	1.961001e+00
TCGA-B0-4813-01A-01R-1277-07	0	8.967688e-01	8.065133e-01	1.040354e+00	2.829461e+00	2.518785e-02	3.687177e-01	0
TCGA-B0-4814-01A-01R-1277-07	1.992268e-02	3.933164e-01	3.513049e-01	8.063221e-01	1.631914e+00	0	1.913682e-01	4.757689e+00
TCGA-B0-4815-01A-01R-1503-07	0	1.550320e+00	1.888880e-01	1.001969e+00	2.478560e+00	1.248849e-01	2.205802e-01	3.435747e+00
TCGA-B0-4816-01A-01R-1503-07	0	5.485953e-01	3.669875e-02	6.764798e-01	1.983963e+00	0	3.272276e-01	4.887710e+00
TCGA-B0-4817-01A-01R-1277-07	1.138437e-01	1.849888e+00	3.085799e-01	1.335268e+00	1.038490e+00	1.618958e-01	5.033118e-01	4.186425e+00
TCGA-B0-4818-01A-01R-1503-07	1.755277e-01	1.259523e-01	3.820497e-02	1.176479e+00	1.118754e+00	0	0	4.782482e+00
TCGA-B0-4819-01A-01R-1277-07	9.192286e-02	1.137141e+00	2.363057e-01	1.315069e+00	2.750034e+00	8.557594e-02	5.656343e-01	1.308661e+00
TCGA-B0-4821-01A-01R-1503-07	0	1.565833e+00	3.650237e-01	1.324969e+00	2.387690e+00	7.782078e-02	1.557967e-01	6.376722e-02
TCGA-B0-4822-01A-01R-1277-07	0	1.375165e+00	1.110041e-01	1.000581e+00	2.869329e+00	8.358270e-02	0	1.347917e+00
TCGA-B0-4823-01A-02R-1420-07	1.123863e-01	5.875955e-01	2.622831e-01	1.654589e-01	2.129650e+00	0	4.865466e-01	5.126674e+00
TCGA-B0-4824-01A-01R-1277-07	2.821470e-01	2.026185e-01	6.428924e-02	1.454276e+00	8.701110e-01	0	0	4.495807e+00
TCGA-B0-4827-01A-02R-1420-07	2.486832e-01	1.160296e+00	3.262654e-01	4.873938e-01	2.418450e+00	1.610885e-01	1.961891e-01	3.818992e+00
TCGA-B0-4828-01A-01R-1277-07	3.155153e-02	6.809364e-01	2.964591e-01	1.421823e+00	8.373246e-01	0	4.468822e-01	4.389584e+00
TCGA-B0-4833-01A-01R-1305-07	1.846983e-01	4.360845e-01	7.378523e-02	1.471893e+00	1.251369e+00	0	0	3.362765e+00
TCGA-B0-4834-01A-01R-1305-07	0	0	3.665127e+00	0	2.174311e+00	0	7.641024e-01	1.592272e+00
TCGA-B0-4836-01A-01R-1305-07	0	1.382538e+00	3.620786e-01	1.522280e-01	2.801760e+00	1.435874e-01	4.510164e-01	4.234884e+00
TCGA-B0-4837-01A-01R-1305-07	0	1.195359e+00	5.855742e-01	2.427128e-01	3.070675e+00	1.521686e-01	0	2.465882e+00
TCGA-B0-4838-01A-01R-1305-07	3.175011e-02	3.017075e-01	9.838029e-02	1.104900e+00	1.150052e+00	0	7.799753e-02	5.912836e+00
TCGA-B0-4839-01A-01R-1305-07	0	8.139269e-01	1.956109e-01	5.607989e-01	1.754900e+00	0	0	3.826774e+00
TCGA-B0-4841-01A-01R-1277-07	0	5.291307e-01	4.606801e-01	6.018659e-01	2.292258e+00	0	0	1.238144e+00
TCGA-B0-4842-01A-02R-1420-07	6.680169e-04	1.707753e+00	1.832144e-01	1.094482e+00	1.667532e+00	0	0	2.731220e+00
TCGA-B0-4843-01A-01R-1277-07	8.188551e-02	9.273129e-01	4.603523e-01	7.719828e-01	3.129522e+00	1.587768e-01	1.348259e-01	7.713330e-01
TCGA-B0-4844-01A-01R-1277-07	0	1.610170e+00	1.457436e-01	9.511164e-01	1.558386e+00	5.165626e-02	1.159419e-01	3.997385e+00
TCGA-B0-4845-01A-01R-1277-07	3.468976e-02	1.516581e-01	3.331862e-01	1.044301e+00	1.528813e+00	0	1.168057e-01	4.035466e+00
TCGA-B0-4846-01A-01R-1277-07	1.343169e-01	5.248435e-02	5.271764e-02	8.513900e-01	1.271435e+00	0	2.102545e-01	6.206852e+00
TCGA-B0-4847-01A-01R-1277-07	3.550148e-03	8.262759e-01	0	1.985011e+00	5.179143e-01	0	0	4.428778e+00
TCGA-B0-4848-01A-01R-1277-07	0	1.124977e+00	2.086493e-01	1.391653e-01	2.186742e+00	4.841958e-03	3.416125e-01	5.557215e+00
TCGA-B0-4849-01A-01R-1277-07	0	2.200714e-01	1.828778e-01	1.167529e+00	1.464442e+00	0	0	4.497794e+00
TCGA-B0-4852-01A-01R-1503-07	1.745741e-01	2.376027e-01	3.947991e-01	7.622564e-01	1.465133e+00	4.649153e-02	1.216156e-01	5.319489e+00
TCGA-B0-4945-01A-01R-1420-07	2.706473e-01	1.840810e-01	4.014512e-01	8.995629e-01	1.413963e+00	7.643783e-02	6.977479e-01	4.573167e+00
