sampleID	D9.8_GNF2-TTN	D10.8_REACTOME-BETA-DEFENSINS	D11.10_MODULE-432	D11.1_MIPS-UTX-MLL2-3-COMPLEX	D13.5_CHASSOT-SKIN-WOUND	D11.3_chr11q11	D11.4_MANNOSYLTRANSFERASE-ACTIVITY	D11.5_EPITHELIAL-CELL-DIFFERENTIATION	D10.6_BIOCARTA-TCAPOPTOSIS-PATHWAY	D11.2_GNF2-GLTSCR2
TCGA-EJ-5512-01A-01R-1580-07	4.268808e-01	5.687134e-01	6.770895e-03	2.418441e+00	8.292235e-01	1.699011e+00	1.264832e+00	1.256823e+00	9.205760e-01	8.700765e-01
TCGA-EJ-5514-01A-01R-1580-07	6.876651e-01	4.749518e-01	1.282873e+00	2.468572e+00	8.635484e-01	3.128238e-01	4.299148e-01	1.800119e-02	1.518668e+00	1.693146e+00
TCGA-EJ-5515-01A-01R-1580-07	5.371150e-01	7.460385e-01	7.797995e-02	3.063625e+00	8.684549e-01	7.000405e-01	1.770144e+00	1.930052e+00	1.271668e-02	8.320530e-01
TCGA-EJ-5516-01A-01R-1580-07	3.420421e-01	2.762089e-01	6.546287e-01	2.969159e+00	8.879877e-01	2.076816e+00	5.459420e-01	4.697463e-01	1.127783e+00	7.221072e-01
TCGA-EJ-5517-01A-01R-1580-07	1.112856e+00	4.528738e-01	1.979730e-01	2.624397e+00	1.115701e+00	1.070066e+00	2.118648e+00	0	7.807046e-01	8.459547e-01
TCGA-EJ-5518-01A-01R-1580-07	1.065932e+00	4.172852e-01	8.206744e-01	2.291534e+00	1.258898e+00	4.361852e-01	1.274775e+00	3.965682e-01	9.131556e-01	1.416043e+00
TCGA-EJ-5519-01A-01R-1580-07	2.528089e-01	1.969202e-01	6.747710e-01	2.906296e+00	8.549105e-01	1.011291e+00	8.492288e-01	1.032062e+00	3.835453e-01	2.070761e+00
TCGA-EJ-5521-01A-01R-1580-07	2.386001e-01	7.585495e-01	1.272383e+00	1.336309e+00	7.750517e-01	2.290280e+00	2.042509e-01	4.573713e-01	1.582671e+00	1.200264e+00
TCGA-EJ-5522-01A-01R-1580-07	2.352354e-01	1.677631e-01	4.652234e-01	2.971888e+00	5.669790e-01	1.710245e+00	6.284047e-01	1.108956e+00	9.013821e-01	1.310810e+00
TCGA-EJ-5524-01A-01R-1580-07	4.623968e-01	2.617588e-01	5.971517e-01	3.083340e+00	6.794733e-01	2.036988e+00	8.541794e-02	5.292656e-01	7.390689e-01	1.651790e+00
TCGA-EJ-5525-01A-01R-1580-07	5.368014e-01	6.174408e-01	0	3.087495e+00	4.133185e-01	1.214945e+00	0	0	1.082464e+00	2.709007e+00
TCGA-EJ-5526-01A-01R-1580-07	2.365193e-01	1.875087e-01	1.485251e-01	3.184214e+00	7.500306e-01	1.378399e+00	4.884493e-01	1.216527e+00	9.724183e-01	1.518726e+00
TCGA-EJ-5527-01A-01R-1580-07	2.731171e-01	1.641353e-01	4.443265e-01	3.050771e+00	7.930183e-01	1.652724e+00	3.344730e-01	8.700656e-01	1.102141e+00	1.335323e+00
TCGA-EJ-5530-01A-01R-1580-07	7.201773e-01	2.037541e-01	5.428499e-01	2.455024e+00	7.942000e-01	2.864531e+00	3.153199e-01	1.479208e-01	7.943398e-01	1.398883e+00
TCGA-EJ-5531-01A-01R-1580-07	3.263583e-01	4.912198e-01	1.682093e-01	2.616532e+00	7.363361e-01	5.562370e-01	1.751749e+00	8.297650e-01	1.664099e+00	8.125023e-01
TCGA-EJ-5532-01A-01R-1580-07	6.484640e-01	4.064078e-01	1.978757e-01	2.923722e+00	9.185613e-01	4.987051e-01	2.078201e+00	7.425957e-01	5.343332e-01	1.320799e+00
TCGA-EJ-5542-01A-01R-1580-07	2.998902e-01	3.744425e-01	4.767432e-01	2.861604e+00	3.398923e-01	2.109866e+00	4.113354e-01	7.081575e-01	1.098840e+00	1.194501e+00
TCGA-EJ-7115-11A-01R-2118-07	4.641933e-01	9.093272e-01	2.286858e-01	2.308781e+00	8.072409e-01	7.911739e-01	1.204408e+00	2.147332e+00	6.092178e-01	9.869939e-01
TCGA-EJ-7115-01A-11R-2118-07	3.466261e-01	5.196519e-01	0	2.504550e+00	8.701093e-01	6.821908e-01	1.329589e+00	1.356814e+00	1.070916e+00	1.464146e+00
TCGA-EJ-7123-11A-01R-1965-07	1.949500e+00	1.192049e+00	0	2.984308e+00	1.239363e+00	5.547179e-01	1.386936e+00	1.001651e+00	0	5.423108e-01
TCGA-EJ-7123-01A-11R-1965-07	2.576803e-01	4.588358e-01	7.697216e-02	2.748399e+00	8.347359e-01	6.280824e-01	2.422051e+00	1.270596e-01	1.204793e+00	1.172003e+00
TCGA-EJ-7125-11A-01R-1965-07	7.328457e-01	9.389989e-01	1.020967e-01	2.158691e+00	9.393353e-01	6.690868e-01	1.891986e+00	1.768211e+00	3.243811e-01	8.785152e-01
TCGA-EJ-7125-01A-11R-1965-07	9.451617e-01	6.844081e-01	0	2.853314e+00	1.553001e+00	5.318611e-01	2.172602e+00	0	3.179317e-01	1.400709e+00
TCGA-EJ-7218-01B-11R-A32O-07	3.525389e-01	3.979720e-01	2.009853e-02	2.472466e+00	9.688372e-01	7.246056e-01	2.468933e+00	5.818677e-01	7.562668e-01	1.496672e+00
TCGA-EJ-7312-01B-21R-A32O-07	3.292441e-01	6.389384e-01	1.124070e-01	2.150788e+00	7.122697e-01	4.897213e-01	1.953381e+00	9.637593e-01	6.275777e-01	2.160094e+00
TCGA-EJ-7314-11A-01R-2118-07	7.992697e-01	8.064446e-01	2.157588e-02	2.940625e+00	1.500013e+00	6.749635e-01	1.124716e+00	1.719129e+00	4.305043e-01	6.269411e-01
TCGA-EJ-7314-01A-31R-2118-07	0	6.067842e-01	2.134952e-01	2.389075e+00	1.266664e+00	2.038538e+00	4.699685e-01	1.046885e+00	6.381711e-01	1.527393e+00
TCGA-EJ-7315-11A-01R-2118-07	9.224562e-01	7.748557e-01	9.089530e-02	3.039326e+00	1.058587e+00	4.055032e-01	7.415583e-01	1.410312e+00	9.520089e-01	8.998505e-01
TCGA-EJ-7315-01A-31R-2118-07	5.284322e-01	3.639523e-01	1.114815e+00	1.864704e+00	5.474040e-01	1.686403e+00	0	0	2.025274e+00	1.780352e+00
TCGA-EJ-7317-11A-01R-2118-07	4.796164e-01	9.340156e-01	9.224356e-02	2.914430e+00	9.575991e-01	5.748465e-01	1.912408e+00	2.180086e+00	0	7.007239e-01
TCGA-EJ-7317-01A-31R-2118-07	6.484861e-01	7.752194e-01	0	2.696684e+00	8.694387e-01	5.754111e-01	2.784030e+00	8.905404e-01	9.584898e-02	1.099055e+00
TCGA-EJ-7318-01B-11R-A32O-07	4.249182e-01	4.157315e-01	1.752594e-01	1.435034e+00	9.232514e-01	1.466392e+00	1.211623e+00	7.852410e-01	1.428285e+00	1.877039e+00
TCGA-EJ-7321-11A-01R-2263-07	3.707681e-01	9.072232e-01	1.422870e-01	2.613688e+00	1.536238e+00	2.757705e-01	1.163291e+00	2.552244e+00	1.919867e-01	1.024057e+00
TCGA-EJ-7321-01A-31R-2263-07	0	1.759358e-01	4.517533e-02	2.725006e+00	8.755938e-01	2.589384e+00	2.985844e-01	1.831607e-01	1.192822e+00	1.749549e+00
TCGA-EJ-7325-01B-11R-A32O-07	1.784275e-01	3.411740e-01	0	4.921478e-01	1.269128e+00	2.070299e+00	4.005109e-01	8.546896e-01	1.685992e+00	2.730142e+00
TCGA-EJ-7327-11A-01R-2118-07	2.599890e-01	9.855861e-01	1.024208e-01	2.936324e+00	5.014575e-01	7.854229e-01	2.178365e+00	1.891019e+00	0	7.989159e-01
TCGA-EJ-7327-01A-11R-2118-07	3.460332e-01	2.644487e-01	3.948916e-01	2.676375e+00	5.352110e-01	1.763177e+00	0	1.314952e+00	9.778143e-01	1.784663e+00
TCGA-EJ-7328-11A-01R-2118-07	1.309039e+00	1.031607e+00	0	2.741861e+00	1.311795e+00	4.089490e-01	1.056176e+00	1.647185e+00	3.416712e-01	7.753080e-01
TCGA-EJ-7328-01A-31R-2118-07	3.212897e-01	2.983683e-01	0	2.430232e+00	8.621155e-01	1.707979e+00	2.931481e-01	8.980830e-01	1.515250e+00	1.759059e+00
