sampleID	D15.10_VALK-AML-CLUSTER-5	D14.4_KORKOLA-EMBRYONAL-CARCINOMA	D14.11_WEBER-METHYLATED-LCP-IN-FIBROBLAST-UP	D8.7_KORKOLA-YOLK-SAC-TUMOR	D16.16_CORNIFIED-ENVELOPE	D9.1_GNF2-GLTSCR2	D15.2_MIPS-UTX-MLL2-3-COMPLEX	D15.8_FU-INTERACT-WITH-ALKBH8	D8.3_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D15.12_SUGAR-TRANSMEMBRANE-TRANSPORTER-ACTIVITY	D10.4_IONOTROPIC-GLUTAMATE-RECEPTOR-ACTIVITY	D18.6_MOSERLE-IFNA-RESPONSE
TCGA-VF-A8AE-01A-11R-A431-07	5.141196e-01	2.650646e-01	3.327651e-01	0	0	4.746768e+00	1.752047e+00	0	0	0	3.598240e-01	1.728178e+00
TCGA-W4-A7U2-01A-11R-A431-07	4.781311e-01	2.240362e-01	1.349429e-01	0	0	4.556596e+00	2.604965e+00	0	0	0	5.531913e-01	8.350245e-01
TCGA-W4-A7U3-01A-12R-A431-07	3.632864e-01	4.643852e-02	0	2.701931e+00	0	2.312139e-01	2.191200e+00	0	2.641525e+00	7.763782e-02	2.082229e+00	7.725255e-01
TCGA-W4-A7U4-01A-12R-A431-07	4.730827e-01	2.210595e+00	1.128689e-02	4.049266e-01	0	8.054776e-01	2.569762e+00	0	6.183665e-01	0	9.146783e-01	3.917205e-01
TCGA-WZ-A7V3-01A-11R-A431-07	6.150493e-01	9.406908e-02	6.817412e-02	9.855112e-02	0	4.042164e+00	2.515328e+00	1.911623e-01	1.105257e-01	0	6.420956e-01	4.583012e-01
TCGA-WZ-A7V4-01A-11R-A431-07	6.805531e-01	0	6.094296e-01	0	0	2.166503e+00	2.464687e+00	1.183671e+00	0	0	5.196310e-01	8.865089e-01
TCGA-WZ-A7V5-01A-11R-A431-07	7.195007e-01	0	5.073899e-01	0	0	3.489175e+00	2.504911e+00	4.190451e-01	0	0	5.825897e-01	7.471610e-01
TCGA-WZ-A8D5-01A-11R-A431-07	7.976156e-01	1.875120e-01	2.583850e-01	9.276876e-02	0	3.865871e+00	2.402205e+00	3.980326e-02	0	0	5.928433e-01	1.152106e+00
TCGA-X3-A8G4-01A-11R-A431-07	5.715362e-01	1.094929e+00	0	1.784910e+00	0	4.618353e-01	1.886189e+00	0	1.952671e+00	9.245620e-02	1.641149e+00	7.605353e-01
TCGA-XE-A8H1-01A-11R-A431-07	3.996869e-01	1.855388e+00	5.986975e-01	3.497021e-01	0	5.042419e-01	2.415594e+00	0	9.046635e-01	0	1.337746e+00	4.119286e-01
TCGA-XE-A8H4-01A-31R-A431-07	8.622363e-01	1.583356e-01	3.986267e-01	7.473793e-02	0	3.098958e+00	2.318621e+00	3.938635e-01	0	0	5.005777e-01	1.148688e+00
TCGA-XE-A8H5-01A-11R-A431-07	4.438469e-01	1.121046e-01	0	4.745755e-02	0	4.373908e+00	2.606622e+00	3.402157e-01	0	0	5.329410e-01	1.197123e+00
TCGA-XE-A9SE-01A-21R-A431-07	6.140160e-01	3.921004e-01	0	4.683854e-01	0	3.736715e+00	2.399447e+00	0	7.266344e-01	0	1.367085e+00	8.784982e-01
TCGA-XE-AANI-01A-11R-A431-07	1.746767e-01	0	1.664465e-01	8.084891e-01	1.668436e-01	3.963555e-01	2.222587e+00	0	5.225412e+00	0	4.530482e+00	0
TCGA-XE-AANJ-01A-11R-A431-07	8.438740e-01	4.004160e-01	1.034918e-01	4.457168e-02	0	4.512715e+00	2.363253e+00	0	0	0	2.849634e-01	1.514643e-01
TCGA-XE-AANR-01A-11R-A431-07	6.442343e-01	0	9.989374e-01	0	0	3.119725e+00	2.125179e+00	3.432591e-01	2.439289e-01	0	6.741808e-01	1.933545e-01
TCGA-XE-AANV-01A-11R-A431-07	5.404296e-01	0	5.227420e-01	0	0	2.814263e+00	2.420484e+00	1.009714e+00	4.889692e-02	0	4.970308e-01	6.513188e-01
TCGA-XE-AAO3-01A-11R-A431-07	2.707574e-01	6.213724e-01	0	8.132164e-02	0	4.737054e+00	2.579146e+00	0	4.169743e-02	0	6.711663e-01	8.516759e-01
TCGA-XE-AAO4-01A-11R-A431-07	4.170696e-01	0	6.697299e-01	2.727515e-02	0	2.657853e+00	1.858715e+00	1.400381e+00	1.816270e-01	0	5.091145e-01	1.008199e+00
TCGA-XE-AAO6-01A-31R-A431-07	7.796408e-01	2.489565e-01	0	0	0	4.110761e+00	1.814166e+00	2.407850e-01	4.003305e-01	0	6.888754e-01	5.505260e-01
TCGA-XE-AAOB-01A-11R-A431-07	8.405822e-01	1.209873e+00	1.261896e-01	8.284590e-01	0	2.034051e-01	1.946515e+00	0	1.920010e+00	0	1.716797e+00	7.835751e-01
TCGA-XE-AAOC-01A-11R-A431-07	3.179830e-01	0	1.118789e-01	1.425658e+00	2.939998e-01	6.701759e-01	1.911014e+00	0	4.769395e+00	2.302850e-01	3.937277e+00	0
TCGA-XE-AAOD-01A-11R-A431-07	6.107380e-01	4.190771e-01	9.967282e-01	0	0	3.040579e+00	2.219399e+00	0	4.779348e-03	0	5.965285e-01	9.326266e-01
TCGA-XE-AAOF-01A-11R-A431-07	5.427586e-01	0	8.683837e-02	4.236058e-02	0	2.763984e+00	2.157748e+00	1.297544e+00	2.116392e-01	0	4.817186e-01	1.397055e+00
TCGA-XE-AAOJ-01A-12R-A431-07	7.724383e-02	0	0	2.521715e+00	0	5.227775e-01	1.913134e+00	0	4.197318e+00	0	3.860543e+00	1.198751e-01
TCGA-XE-AAOL-01A-11R-A431-07	6.552199e-04	4.911517e-02	0	0	0	4.979620e+00	1.787650e+00	5.808985e-01	9.163972e-01	0	9.982712e-01	9.464457e-01
