sampleID	D12.10_GNF2-SPRR1B	D6.2_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D19.8_FARMER-BREAST-CANCER-CLUSTER-5	D9.7_REACTOME-CYTOSOLIC-SULFONATION-OF-SMALL-MOLECULES	D18.18_REACTOME-DOPAMINE-NEUROTRANSMITTER-RELEASE-CYCLE	D17.8_WEBER-METHYLATED-ICP-IN-SPERM-DN	D18.17_GNF2-SPINK1	D19.16_CHROMOSOME-CONDENSATION	D18.12_MARTINELLI-IMMATURE-NEUTROPHIL-DN	D17.6_chr11q11
TCGA-BR-8284-01A-11R-2343-13	0	2.258543e+00	4.275056e-01	4.625003e-01	3.220953e-01	1.431691e-02	0	0	0	0	1.376611e+00
TCGA-BR-8286-01A-12R-2343-13	0	1.286019e+00	2.289048e-01	4.839144e-01	0	0	2.151769e-03	0	3.348869e-01	0	6.117417e-01
TCGA-BR-8289-01A-11R-2343-13	0	2.202326e+00	1.452277e-01	5.537771e-01	0	0	4.237191e-01	3.810897e-03	1.785112e-01	0	7.267181e-01
TCGA-BR-8291-01A-11R-2343-13	0	2.776147e+00	4.385631e-01	6.563474e-01	4.046730e-01	7.234842e-02	0	0	4.361444e-02	2.155896e-01	1.193943e+00
TCGA-BR-8295-01A-11R-2343-13	0	1.359681e+00	0	2.576064e-01	1.310574e-01	8.078227e-02	2.025917e+00	1.579478e-01	2.449523e-02	0	1.783724e-01
TCGA-BR-8296-01A-11R-2343-13	0	1.649602e+00	6.052014e-01	2.934455e-01	0	1.263335e-02	0	3.222771e-01	2.378916e-01	0	9.808657e-01
TCGA-BR-8297-01A-12R-2343-13	0	3.405180e+00	3.168511e-01	2.214212e-01	9.512368e-02	0	1.571989e-02	7.078980e-02	5.083869e-02	0	4.824152e-01
TCGA-BR-8361-01A-11R-2343-13	0	1.171910e+00	3.793989e-01	3.232885e-01	2.043254e-01	0	0	0	0	0	7.269488e-02
TCGA-BR-8362-01A-11R-2343-13	0	2.554437e+00	3.474724e-01	4.675178e-01	1.043541e+00	4.572959e-02	0	0	3.082072e-02	0	6.133883e-01
TCGA-BR-8363-01A-11R-2343-13	0	2.024876e+00	7.418957e-01	4.162958e-01	0	3.778427e-03	0	0	0	0	1.175046e-01
TCGA-BR-8364-01A-11R-2343-13	3.267656e-04	3.485731e+00	4.277077e-01	4.791189e-01	1.259975e-01	6.177964e-02	0	9.863122e-02	7.586791e-02	0	9.131306e-01
TCGA-BR-8365-01A-21R-2343-13	0	3.872720e+00	3.867638e-01	2.506677e-01	2.178592e-01	1.255117e-01	0	1.906368e-01	0	0	7.645893e-01
TCGA-BR-8366-01A-11R-2343-13	3.018760e-01	2.045299e+00	6.808766e-01	5.203473e-01	0	0	0	0	1.344507e-01	0	8.126758e-01
TCGA-BR-8367-01A-11R-2343-13	0	2.876908e+00	2.289332e-01	3.806607e-01	7.031157e-01	6.402897e-02	0	9.966987e-02	1.106237e-01	0	7.802839e-01
TCGA-BR-8368-01A-11R-2343-13	0	6.825608e-01	2.664106e-01	2.633009e-01	6.961104e-01	6.137704e-02	0	0	4.799438e-02	1.213615e-01	4.652255e-01
TCGA-BR-8369-01A-11R-2343-13	0	2.637515e+00	3.123529e-01	2.396609e-01	1.589662e-01	0	1.406591e-01	8.989517e-03	2.415813e-01	0	2.949574e-01
TCGA-BR-8371-01A-11R-2343-13	9.128396e-02	4.039996e+00	5.165456e-01	5.104346e-02	1.748206e-01	0	0	0	1.067308e-01	0	3.266236e-01
TCGA-BR-8372-01A-11R-2343-13	0	1.292655e+00	3.528936e-01	4.130781e-01	7.219508e-01	0	0	0	0	0	1.612675e-01
