sampleID	D16.12_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D6.1_INAMURA-LUNG-CANCER-SCC-DN	D13.3_FARMER-BREAST-CANCER-CLUSTER-5	D13.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.7_GNF2-SPRR1B	D6.4_MIPS-UTX-MLL2-3-COMPLEX	D7.1_chr11q25	D11.8_chr11q11	D16.8_REACTOME-BETA-DEFENSINS	D16.15_SASSON-FSH-RESPONSE	D16.14_SINGH-NFE2L2-TARGETS
TCGA-44-A479-01A-31R-A24H-07	0	1.888208e+00	9.770615e-01	2.652073e+00	1.381568e-01	4.093778e+00	1.945900e+00	1.893208e+00	2.867070e-01	0	0
TCGA-44-A47A-01A-21R-A24H-07	0	1.650441e+00	5.462915e-01	2.045462e+00	1.705066e-01	8.982216e-01	4.659993e+00	1.509269e-01	1.546100e+00	0	0
TCGA-44-A47B-01A-11R-A24H-07	0	1.928294e+00	8.348063e-01	1.095708e+00	0	2.069014e+00	4.050755e+00	9.590078e-01	7.215691e-01	0	0
TCGA-44-A47G-01A-21R-A24H-07	4.019782e-01	2.276202e+00	1.419182e+00	1.655991e+00	5.050136e-01	3.861028e-02	3.763117e+00	0	4.204312e-01	0	9.893132e-02
TCGA-44-A4SS-01A-11R-A24X-07	0	1.605847e+00	2.231691e+00	1.380023e+00	1.067233e+00	5.254557e-01	1.473835e+00	0	0	0	3.621324e-01
TCGA-44-A4SU-01A-11R-A24X-07	3.808205e-01	1.095364e+00	1.003896e+00	1.198565e+00	5.150817e-01	1.745932e+00	4.810787e+00	3.036306e-01	1.374303e+00	0	0
TCGA-49-4486-01A-01R-1206-07	0	3.554202e+00	0	6.197921e-01	0	5.209323e-01	2.213621e+00	1.889355e-02	4.875199e-02	0	4.676769e-01
TCGA-49-4487-01A-21R-1858-07	0	2.329965e+00	1.143433e+00	2.218539e+00	0	2.017271e+00	2.229959e+00	5.821119e-01	1.026864e-01	1.405934e-01	0
TCGA-49-4488-01A-01R-1755-07	5.656647e-02	9.071379e-01	1.069327e+00	1.010954e+00	0	0	4.517489e+00	0	7.036938e-01	0	1.795676e-01
TCGA-49-4490-11A-01R-1858-07	2.161148e-01	6.333621e+00	4.229287e-01	5.064867e-01	0	0	3.470125e-01	0	7.829396e-02	0	3.223642e-02
TCGA-49-4490-01A-21R-1858-07	2.706044e-01	1.117429e+00	1.243688e+00	8.604484e-01	8.627809e-01	5.769087e-01	4.356676e+00	0	1.162689e+00	0	1.313628e-02
TCGA-49-4494-01A-01R-1206-07	0	1.166605e+00	1.195741e+00	7.289971e-01	3.751270e-01	1.095428e-01	3.492604e+00	4.977225e-01	5.481781e-01	5.849433e-02	4.226697e-02
TCGA-49-4501-01A-01R-1206-07	0	2.518578e+00	4.829472e-01	1.652208e+00	1.307356e-01	6.285269e-01	4.128211e+00	0	1.404197e+00	0	0
TCGA-49-4505-01A-01R-1206-07	8.776242e-02	1.819632e+00	1.066554e+00	1.206737e+00	0	3.273370e-02	4.714097e+00	2.065030e-02	8.659866e-01	0	0
TCGA-49-4506-01A-01R-1206-07	0	1.277164e+00	1.842033e+00	8.995283e-01	4.800261e-01	1.866737e-01	0	2.081628e-01	0	6.515489e-01	3.385561e-01
TCGA-49-4507-01A-01R-1206-07	0	6.650103e-01	2.107484e+00	1.483180e+00	7.865607e-01	0	6.877444e-01	0	0	4.563873e-01	4.023591e-01
TCGA-49-4510-01A-01R-1206-07	1.589870e-01	3.143850e+00	1.438266e-01	1.542231e+00	0	2.015032e+00	2.736739e+00	1.206491e+00	1.486496e-01	0	5.805509e-02
TCGA-49-4512-11A-01R-1858-07	3.509716e-01	5.657093e+00	0	1.049358e+00	0	0	1.574823e+00	0	4.365388e-01	0	0
TCGA-49-4512-01A-21R-1858-07	0	1.606248e+00	9.649911e-01	1.493318e+00	0	6.632559e-01	4.976850e+00	1.542202e-02	1.513719e+00	0	0
TCGA-49-4514-01A-21R-1858-07	1.023722e-01	1.423300e+00	6.621197e-01	1.975418e+00	1.067810e+00	1.447120e+00	1.780329e+00	5.163455e-01	4.559175e-02	1.216382e-01	3.695378e-01
TCGA-49-6742-11A-01R-1858-07	5.455896e-01	5.868681e+00	1.312640e-01	6.039198e-01	1.850837e-01	4.965622e-01	1.929996e+00	1.616878e-02	3.771979e-01	0	0
TCGA-49-6742-01A-11R-1858-07	0	2.898758e+00	6.445358e-01	8.136435e-01	1.145417e+00	1.340553e+00	9.007766e-01	2.887124e-01	8.548991e-02	3.567096e-01	1.819058e-01
TCGA-49-6743-11A-01R-1858-07	0	6.634055e+00	4.069878e-01	5.757467e-01	0	3.117239e-01	9.734666e-01	0	3.368498e-01	0	0
TCGA-49-6743-01A-11R-1858-07	0	1.847205e+00	1.855710e+00	9.290025e-01	4.178718e-01	1.630217e+00	1.732759e+00	1.248136e-01	0	2.830988e-01	1.494444e-01
TCGA-49-6744-11A-01R-1858-07	1.728368e-01	6.821587e+00	3.343927e-01	5.309230e-01	0	8.412165e-01	1.118541e+00	0	3.441227e-01	0	0
TCGA-49-6744-01A-11R-1858-07	1.185419e-02	2.900973e+00	1.129536e+00	1.682126e+00	3.418381e-01	8.875960e-01	3.238792e+00	1.397755e-01	7.667781e-01	7.863380e-03	0
