sampleID	D7.6_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D12.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D7.3_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D15.14_CORNIFIED-ENVELOPE	D12.9_WEBER-METHYLATED-ICP-IN-SPERM-UP	D12.4_GNF2-GLTSCR2	D14.13_ZHOU-PANCREATIC-EXOCRINE-PROGENITOR	D11.10_SCHLESINGER-METHYLATED-IN-COLON-CANCER	D15.12_chryq11	D12.1_MIPS-UTX-MLL2-3-COMPLEX	D12.2_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN
TCGA-B5-A0JN-01A-11R-A104-07	1.755319e-01	5.142686e-01	5.572413e-01	0	1.258263e+00	1.062528e+00	4.184659e-02	3.092254e-01	6.750096e-01	3.220374e+00	1.830243e+00
TCGA-B5-A0JR-01A-13R-A466-07	3.163427e-01	1.559588e+00	1.491223e+00	0	0	1.085478e-01	7.477569e-01	7.123705e-01	0	1.988463e+00	2.507771e+00
TCGA-B5-A0K9-01A-21R-A104-07	4.705789e-01	1.206546e+00	5.632965e-01	0	0	1.044322e+00	8.924028e-01	2.251854e-02	4.242068e-01	2.308383e+00	2.555538e+00
TCGA-B5-A11R-01A-11R-A118-07	1.444793e+00	8.722914e-01	1.003864e+00	2.856498e-01	0	8.053553e-01	0	3.565837e-02	0	3.338462e+00	1.729802e+00
TCGA-B5-A1MS-01B-11R-A22K-07	2.409448e-01	4.700238e-01	1.068408e+00	0	1.716262e+00	8.261250e-01	1.841705e-01	2.089580e-01	3.560793e-01	3.271986e+00	1.362168e+00
TCGA-B5-A1MW-01A-11R-A32Y-07	1.114480e-01	5.408340e-01	7.242036e-01	9.534677e-01	0	9.977939e-01	0	1.128576e-02	1.551168e-01	3.939452e+00	2.263840e+00
TCGA-B5-A3F9-01A-21R-A22K-07	1.558382e+00	1.341457e+00	1.521734e+00	7.691632e-02	1.800919e-01	5.229930e-01	0	1.343104e+00	6.797402e-02	3.001403e+00	2.564681e-01
TCGA-B5-A3FA-01A-11R-A19W-07	0	9.695825e-01	8.866393e-01	0	1.249389e-01	1.162586e+00	2.770935e-01	0	0	2.926588e+00	1.859195e+00
TCGA-B5-A3FB-01A-11R-A19W-07	1.142471e+00	7.210396e-01	5.000536e-01	0	3.807025e-01	1.018116e+00	0	4.319313e-02	0	3.619001e+00	1.684630e+00
TCGA-B5-A3FC-01A-11R-A22K-07	8.028147e-01	1.952608e+00	1.703418e+00	0	0	7.913978e-01	0	1.235759e+00	0	2.760039e+00	1.074123e+00
TCGA-B5-A3FD-01A-11R-A19W-07	1.572981e+00	1.036050e+00	1.331739e+00	0	5.197867e-01	6.711973e-01	0	1.167215e+00	8.333180e-02	2.277152e+00	1.072467e+00
TCGA-B5-A3FH-01A-11R-A19W-07	1.286429e+00	7.506023e-01	7.345176e-01	2.416493e-01	0	7.818643e-01	2.142186e-02	0	0	3.666736e+00	1.649012e+00
TCGA-B5-A3S1-01A-11R-A22K-07	1.094986e-01	1.223301e+00	1.100972e+00	2.793547e-01	1.456904e+00	7.322404e-01	9.277932e-02	1.160544e-01	1.566015e-01	2.967785e+00	1.480954e+00
TCGA-B5-A5OC-01A-21R-A27V-07	1.671886e-01	2.044326e+00	2.098398e+00	3.973986e-01	0	2.720158e-01	7.456815e-01	4.438668e-01	1.550849e-01	2.374915e+00	1.513392e+00
TCGA-B5-A5OD-01A-11R-A31O-07	3.686087e-01	7.171849e-01	1.032171e+00	0	1.609458e+00	1.480648e+00	0	4.718411e-02	7.256047e-02	2.514525e+00	1.494424e+00
TCGA-B5-A5OE-01A-11R-A31O-07	0	2.916576e-01	3.050797e-01	3.688708e-02	1.589653e-01	2.281370e+00	0	0	2.479018e+00	2.783763e+00	1.968686e+00
TCGA-BG-A0MK-01A-51R-A19W-07	1.915478e+00	8.107194e-01	1.470569e+00	6.466687e-02	0	8.593641e-01	3.796601e-01	7.068921e-01	1.683635e-01	2.504375e+00	1.110003e+00
TCGA-BG-A2AD-11A-11R-A16F-07	4.365773e-01	9.365623e-01	4.634677e+00	0	4.668458e-01	1.165755e+00	0	1.013752e-01	0	3.675351e+00	2.334489e-01
TCGA-BG-A3EW-11A-22R-A22K-07	4.628766e-01	5.743606e-01	4.997503e+00	0	3.412357e-01	1.125663e+00	0	2.245750e-01	0	3.892411e+00	2.532564e-01
TCGA-BG-A3EW-01A-11R-A22K-07	7.670946e-02	8.576112e-01	9.605592e-01	0	0	3.247114e-01	7.608042e-01	0	2.309409e-01	2.769585e+00	2.378792e+00
TCGA-BG-A3PP-11A-11R-A22K-07	6.798568e-02	4.323490e-01	4.658423e+00	0	1.517774e-01	8.618951e-01	0	2.444425e-01	0	3.652242e+00	1.081453e+00
TCGA-BG-A3PP-01A-11R-A22K-07	2.595675e-01	6.965357e-01	1.656656e+00	0	2.946638e-01	6.925845e-01	0	9.487129e-02	0	3.226654e+00	1.915972e+00
TCGA-BK-A139-02A-11R-A27V-07	1.111768e-01	1.139338e+00	1.401632e+00	0	0	9.823881e-01	0	0	5.870404e-01	3.724840e+00	1.549325e+00
TCGA-BK-A13B-01A-51R-A22K-07	3.669464e-01	1.081135e+00	8.800637e-01	7.574283e-01	0	7.063777e-01	9.078128e-01	5.552627e-01	0	2.621230e+00	2.254811e+00
TCGA-BK-A4ZD-11A-12R-A27V-07	6.351238e-01	1.053203e+00	4.742652e+00	0	7.213441e-02	2.281631e-02	0	9.053330e-01	0	4.011545e+00	1.452350e-01
TCGA-BK-A4ZD-01A-11R-A27V-07	3.047861e-01	4.850472e-01	1.432740e+00	2.239147e-01	0	6.699404e-01	0	9.919750e-01	8.619580e-02	4.719499e+00	1.510938e+00
TCGA-BK-A56F-01A-32R-A27V-07	1.519636e+00	1.127230e+00	1.965860e+00	4.309913e-01	8.894632e-02	1.667537e-01	1.746528e-01	8.422007e-01	4.079131e-02	2.924140e+00	9.401502e-01
TCGA-BK-A6W3-01A-12R-A34R-07	8.534935e-01	1.539733e+00	1.001484e+00	3.845452e-01	0	9.068058e-01	1.368635e-01	2.611574e-01	0	3.596312e+00	1.314776e+00
TCGA-BK-A6W4-01A-12R-A34R-07	9.982772e-01	7.668752e-01	2.701979e+00	2.212295e-01	2.000749e-01	4.673062e-01	2.828070e-01	5.251918e-01	1.112463e-01	3.299538e+00	1.209888e+00
TCGA-BS-A0V4-01A-11R-A14D-07	5.821358e-01	3.508162e-01	1.200072e+00	0	0	2.244306e+00	1.175126e+00	7.055510e-01	2.394274e-02	6.693378e-01	2.287213e+00
TCGA-BS-A0V7-01A-21R-A118-07	1.073095e+00	1.001379e+00	2.913976e+00	4.176375e-02	1.095252e-01	1.662817e+00	0	1.696326e+00	3.735335e-01	1.332993e+00	0
TCGA-D1-A2G0-01A-11R-A32Y-07	0	1.136982e+00	3.359158e-01	1.058986e-01	3.779116e-01	1.436971e+00	3.706740e-01	0	8.651868e-01	1.441308e+00	3.944333e+00
TCGA-D1-A3DA-01A-12R-A213-07	3.073805e-01	5.887089e-01	7.977511e-01	0	1.739092e-01	7.509676e-01	7.446046e-01	0	1.365026e-01	2.635724e+00	2.068016e+00
TCGA-D1-A3DG-01A-11R-A19W-07	1.394361e-01	4.258151e-01	1.064226e+00	7.068348e-02	3.204931e-01	7.104708e-01	2.428164e-01	2.965623e-01	1.654828e-01	2.212873e+00	2.222578e+00
TCGA-D1-A3DH-01A-11R-A19W-07	0	4.146899e-02	9.269001e-01	0	0	1.439851e+00	0	2.729236e-02	6.588957e-01	3.866324e+00	1.189456e+00
TCGA-D1-A3JP-01A-31R-A22K-07	1.952920e-01	1.790322e+00	1.415541e+00	4.637712e-01	7.472972e-01	5.771825e-01	9.872855e-01	1.047177e-01	1.135501e+00	1.343661e+00	2.360638e+00
TCGA-D1-A3JQ-01A-11R-A22K-07	8.685230e-01	8.946102e-01	1.221735e+00	0	1.834387e+00	1.039050e+00	0	2.530947e-01	2.338757e-03	3.371404e+00	9.845437e-01
