sampleID	D11.8_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D8.6_DOANE-BREAST-CANCER-ESR1-DN	D11.3_FARMER-BREAST-CANCER-CLUSTER-5	D11.5_NAKAYAMA-SOFT-TISSUE-TUMORS-PCA2-DN	D11.10_REACTOME-GLUCURONIDATION	D11.1_MODULE-352	D11.2_NADH-DEHYDROGENASE-COMPLEX	D9.8_SMID-BREAST-CANCER-RELAPSE-IN-LIVER-DN	D9.2_FINETTI-BREAST-CANCERS-KINOME-BLUE
TCGA-A2-A3XS-01A-11R-A22U-07	4.847280e-01	1.716711e+00	1.033291e+00	4.325084e-01	0	3.159024e+00	3.732283e+00	0	8.816039e-01
TCGA-A2-A3XT-01A-11R-A22U-07	8.116778e-01	1.035503e+00	8.998462e-01	6.231236e-01	0	3.452164e+00	3.658972e+00	0	5.864422e-01
TCGA-A2-A3XU-01A-12R-A22U-07	1.436953e-01	1.803581e+00	6.221199e-01	2.640871e-01	0	2.820206e+00	4.610662e+00	0	3.547300e-01
TCGA-A2-A3XV-01A-21R-A239-07	1.835998e-01	0	6.861345e-01	7.890926e-01	1.618241e+00	2.154817e+00	4.451194e+00	0	1.713379e-01
TCGA-A2-A3XW-01A-11R-A239-07	3.957182e-01	1.083622e+00	1.024088e+00	9.160553e-01	0	2.013537e+00	4.150261e+00	3.445123e-01	2.327396e+00
TCGA-A2-A3XX-01A-21R-A239-07	4.744137e-01	1.692323e+00	1.069490e+00	3.719787e-01	0	3.219780e+00	3.809220e+00	0	7.109160e-01
TCGA-A2-A3XY-01A-11R-A239-07	5.937301e-01	1.384929e+00	1.218794e+00	1.069944e+00	0	3.226961e+00	3.344907e+00	0	5.074355e-01
TCGA-A2-A3XZ-01A-42R-A239-07	6.870916e-01	6.374237e-01	9.475984e-01	5.456771e-01	4.231059e-01	3.099063e+00	3.303264e+00	2.070829e-01	1.334833e+00
TCGA-A2-A3Y0-01A-11R-A239-07	8.843743e-01	1.258830e+00	9.336677e-01	1.217908e-01	3.192687e-01	3.114490e+00	4.040867e+00	0	2.071506e-01
TCGA-A2-A4RW-01A-21R-A266-07	2.535537e-01	3.618475e-01	1.144209e+00	8.445684e-01	0	3.320611e+00	2.967923e+00	1.240661e-01	2.914397e+00
