sampleID	D8.4_MIPS-UTX-MLL2-3-COMPLEX	D7.6_WEST-ADRENOCORTICAL-TUMOR-MARKERS-DN	D11.9_RUNNE-GENDER-EFFECT-UP	D9.3_MATHEW-FANCONI-ANEMIA-GENES	D11.8_REACTOME-BETA-DEFENSINS	D7.4_GAUTSCHI-SRC-SIGNALING	D11.11_NEUROPEPTIDE-HORMONE-ACTIVITY	D9.4_REACTOME-BETA-DEFENSINS	D9.1_MODULE-42
TCGA-RW-A67V-01A-11R-A35K-07	1.971126e-01	5.066107e-01	3.868891e-01	1.803478e+00	0	6.265652e-01	0	3.571081e+00	1.879124e+00
TCGA-RW-A67W-01A-11R-A35K-07	8.306898e-01	7.831042e-01	4.984326e-01	8.362188e-01	4.701746e-01	7.860047e-01	6.770156e-01	1.364353e+00	3.781743e+00
TCGA-RW-A67X-01A-11R-A35K-07	1.846080e+00	3.134584e-01	8.420986e-01	3.618641e-01	2.308113e-02	4.934936e+00	7.630721e-02	2.319123e+00	1.147510e-01
TCGA-RW-A67Y-01A-11R-A35K-07	2.131344e+00	0	2.484478e-01	2.214401e+00	9.363140e-02	0	0	7.963692e-01	4.209136e+00
TCGA-RW-A680-01A-11R-A35K-07	8.600809e-01	0	5.120570e-01	4.439315e+00	1.066304e+00	2.103756e+00	0	0	3.164842e-01
TCGA-RW-A681-01A-11R-A35K-07	1.282404e+00	0	0	4.325644e+00	0	0	0	3.967596e+00	2.936838e-01
TCGA-RW-A684-01A-12R-A35K-07	1.287428e+00	5.590733e-01	9.144279e-01	6.684592e-01	2.025550e-01	9.341385e-01	2.512899e-01	1.603167e+00	3.642444e+00
TCGA-RW-A685-01A-11R-A35K-07	1.062754e+00	1.621885e+00	3.089385e-01	1.333003e+00	2.702688e-01	5.543051e-01	8.253134e-01	3.891410e-01	3.885284e+00
TCGA-RW-A686-06A-11R-A35K-07	1.256915e+00	4.054910e-02	8.724468e-01	1.226933e+00	2.900348e+00	8.081996e-01	2.133858e-01	1.503172e+00	9.679178e-01
TCGA-RW-A686-01A-11R-A35K-07	1.420966e+00	7.874103e-02	6.923223e-01	1.322887e+00	2.801859e+00	4.539443e-01	1.760397e-01	1.626581e+00	9.619602e-01
TCGA-RW-A688-01A-11R-A35K-07	1.898192e+00	4.148051e-02	3.068015e-01	2.505032e+00	8.048239e-02	0	0	6.955537e-01	4.284892e+00
TCGA-RW-A689-01A-11R-A35K-07	1.805325e+00	5.833395e-01	1.285842e+00	4.597505e-01	2.695343e-01	1.151847e+00	4.838994e-01	8.670634e-01	4.263811e+00
TCGA-RW-A68A-01A-11R-A35K-07	1.956436e+00	1.206226e-01	4.794747e-01	6.640026e-01	4.291861e-01	6.866570e-01	0	5.331433e-01	4.180382e+00
TCGA-RW-A68B-01A-11R-A35K-07	2.117520e+00	3.959125e-02	5.661524e-01	1.209193e+00	2.994482e-01	7.806863e-01	0	6.106372e-01	3.968339e+00
TCGA-RW-A68C-01A-11R-A35K-07	2.130257e+00	1.098634e-01	4.616901e-01	5.232637e-02	3.911338e-01	4.426691e+00	0	2.559224e+00	0
TCGA-RW-A68D-01A-11R-A35K-07	2.129682e+00	1.445584e-02	2.876934e-01	2.418938e+00	5.085134e-01	1.489306e+00	0	1.624306e+00	1.486893e+00
TCGA-RW-A68F-01A-11R-A35K-07	1.522900e+00	4.605856e-02	2.574416e-01	4.692072e+00	1.110092e-01	1.515841e+00	0	1.871066e+00	0
TCGA-RW-A68G-01A-11R-A35K-07	6.850551e-01	2.091476e+00	6.617074e-01	4.475396e-01	9.652417e-01	1.039649e+00	2.773351e-01	2.385633e+00	1.726757e+00
TCGA-RW-A7CZ-01A-11R-A35K-07	2.021357e+00	8.233985e-02	3.587781e-01	4.185915e+00	1.129456e-01	2.422960e+00	0	5.782475e-01	1.111923e-01
TCGA-RW-A7D0-01A-11R-A35K-07	1.662599e+00	3.764802e-01	5.610900e-01	5.890586e-01	2.733698e-01	1.256336e+00	7.495815e-01	9.674322e-01	3.673930e+00
TCGA-RW-A8AZ-01A-11R-A35K-07	1.820878e+00	1.933038e-01	1.213441e+00	1.177375e+00	3.043225e+00	1.119298e+00	7.672209e-01	1.640085e+00	0
TCGA-RX-A8JQ-01A-11R-A35L-07	2.401771e+00	6.333811e-02	1.060626e+00	6.867441e-01	3.730670e-02	1.890977e+00	2.424970e-01	1.082167e+00	3.313053e+00
TCGA-S7-A7WL-01A-11R-A35L-07	2.076672e+00	6.772367e-02	1.047990e+00	1.488646e+00	0	1.090755e+00	0	1.345844e+00	4.020901e+00
TCGA-S7-A7WM-01A-12R-A35L-07	1.856178e+00	6.677734e-01	1.560848e+00	1.399476e+00	7.484316e-02	2.010144e+00	9.548337e-01	7.788783e-01	3.335250e+00
TCGA-S7-A7WN-01A-12R-A35L-07	2.148400e+00	3.028000e-01	1.501705e+00	9.035419e-01	0	1.563520e+00	6.811700e-01	1.366107e+00	3.367294e+00
TCGA-S7-A7WO-01A-11R-A35L-07	9.967266e-01	3.736564e+00	3.017423e-01	6.840292e-01	4.425414e-01	6.627610e-01	2.948397e-01	4.983816e-01	2.178422e+00
TCGA-S7-A7WP-01A-11R-A35L-07	2.535944e+00	9.282717e-02	1.235164e-01	3.038056e-01	0	3.677558e+00	0	2.931506e+00	0
TCGA-S7-A7WQ-01A-12R-A35L-07	2.395628e+00	0	4.148656e-01	2.831836e-01	1.465610e-01	4.834902e+00	0	2.054231e+00	0
TCGA-S7-A7WR-01A-11R-A35L-07	2.149471e+00	3.081475e-01	9.711045e-01	8.386524e-01	1.847826e-01	7.599944e-01	1.390598e-01	4.293758e-01	4.690017e+00
TCGA-S7-A7WT-01A-12R-A35L-07	1.708795e+00	2.785277e-01	1.455808e+00	1.138152e+00	8.210050e-01	9.340224e-01	0	2.786941e+00	2.055410e+00
TCGA-S7-A7WU-01A-11R-A35L-07	1.622385e+00	1.547759e-01	5.513330e-01	2.352923e+00	9.620506e-01	1.606409e+00	0	2.495190e+00	6.636102e-01
TCGA-S7-A7WV-01A-11R-A35L-07	1.739050e+00	1.880018e+00	1.623731e+00	6.490219e-01	1.629968e-01	3.283165e+00	5.756615e-01	1.357740e+00	9.147313e-01
TCGA-S7-A7WW-01A-11R-A35L-07	1.562904e+00	1.624322e+00	7.418927e-01	1.584689e+00	0	2.578618e+00	3.278591e-01	3.020790e+00	0
TCGA-S7-A7WX-01A-11R-A35L-07	1.757631e+00	6.234147e-01	9.424217e-01	5.457099e-01	3.022138e-01	1.187000e+00	2.864058e-01	4.763455e-01	4.228476e+00
TCGA-S7-A7X0-01A-12R-A35L-07	2.237779e+00	7.064921e-02	8.526804e-01	9.096055e-01	4.587599e-01	3.361989e+00	0	2.238486e+00	4.723355e-01
TCGA-S7-A7X1-01A-11R-A35L-07	2.269703e+00	0	4.998165e-01	7.510838e-01	2.222002e-01	4.547184e+00	0	2.116882e+00	1.282430e-01
TCGA-S7-A7X2-01A-12R-A35L-07	1.482586e+00	4.654304e-01	9.182325e-01	5.737238e-01	3.210792e-01	1.057306e+00	5.052523e-01	3.285823e-01	4.672007e+00
TCGA-SA-A6C2-01A-11R-A35L-07	1.968041e+00	3.635879e-01	1.064502e+00	2.755485e+00	4.222704e-02	1.584796e+00	0	2.081994e+00	1.209997e+00
TCGA-SP-A6QC-01A-11R-A35L-07	5.368632e-01	8.868030e-01	1.119421e+00	1.486197e+00	3.835201e-02	1.181546e+00	1.123751e-01	4.603892e-01	4.212378e+00
TCGA-SP-A6QD-01A-12R-A35L-07	1.564909e+00	1.246338e-01	1.069023e+00	3.770947e+00	2.930534e-01	3.066543e+00	0	1.036169e+00	0
TCGA-SP-A6QF-01A-12R-A35L-07	5.825627e-01	6.022980e-01	1.421950e+00	9.698743e-01	4.474500e-01	1.175388e+00	6.597505e-01	9.362042e-01	4.356458e+00
TCGA-SP-A6QG-01A-12R-A35L-07	1.866703e+00	9.088869e-02	3.810964e-01	3.445093e+00	1.810793e-01	1.771973e+00	0	7.296749e-01	1.197365e+00
TCGA-SP-A6QH-01A-21R-A35L-07	1.299373e+00	7.020820e-01	5.976402e-01	6.583517e-01	1.229173e+00	3.881744e+00	0	1.031560e+00	0
TCGA-SP-A6QI-01A-12R-A35L-07	1.436601e+00	2.755011e-01	1.212755e+00	1.517189e+00	7.205860e-02	6.794401e-01	0	1.015031e+00	4.316821e+00
TCGA-SP-A6QJ-01A-11R-A35L-07	1.308481e+00	4.123144e-01	7.112151e-01	7.392343e-01	5.780979e-01	1.032923e+00	7.760688e-01	9.146865e-01	3.851415e+00
TCGA-SP-A6QK-01A-11R-A35L-07	9.919173e-01	2.556074e+00	8.951734e-01	4.204788e-01	2.467249e-01	1.186935e+00	5.887243e-01	6.875970e-01	3.247929e+00
TCGA-SQ-A6I4-11A-11R-A35L-07	1.317840e+00	5.234918e+00	7.063575e-01	1.191689e+00	8.928441e-01	2.553793e-01	0	4.419151e-01	2.407058e-01
TCGA-SQ-A6I4-01A-11R-A35L-07	1.898221e+00	7.689603e-01	1.126320e+00	2.218317e+00	1.972426e-01	2.047474e+00	1.504173e+00	1.957214e-01	2.345087e+00
TCGA-SQ-A6I6-01A-11R-A35L-07	2.305957e+00	0	5.597447e-01	1.338727e+00	4.639821e-01	3.147526e-01	0	1.649117e-01	4.827877e+00
TCGA-SR-A6MP-01A-11R-A35L-07	2.223767e+00	7.769079e-01	7.321126e-01	7.992283e-03	3.085978e-01	1.406364e+00	2.252076e-01	1.210451e+00	3.441988e+00
TCGA-SR-A6MQ-01A-11R-A35L-07	2.158128e+00	2.093058e-01	9.814518e-01	1.123004e+00	1.562080e-01	1.241998e+00	1.731628e-01	8.609290e-01	3.736951e+00
TCGA-SR-A6MR-01A-11R-A35L-07	1.422079e+00	2.995289e-01	1.612180e+00	2.543155e+00	2.781929e-01	2.587379e+00	0	1.916569e+00	9.592166e-01
TCGA-SR-A6MS-01A-11R-A35L-07	1.441882e+00	6.194074e-01	6.061646e-01	1.066807e+00	4.784978e-01	1.723691e+00	3.021925e-01	4.078900e+00	0
TCGA-SR-A6MT-01A-11R-A35L-07	1.969912e+00	3.056383e-01	5.409448e-01	3.610341e+00	0	1.254510e+00	1.319069e-01	3.166320e+00	1.399400e-01
TCGA-SR-A6MU-01A-11R-A35L-07	5.775694e-01	2.215231e+00	2.473574e-01	7.453181e-01	3.131318e-01	6.305528e-01	7.158172e-01	2.206718e+00	2.158760e+00
TCGA-SR-A6MV-01A-11R-A35L-07	6.430861e-01	4.103671e-01	7.074615e-01	7.868707e-01	5.338589e-01	2.239904e+00	0	2.086811e+00	2.206062e+00
TCGA-SR-A6MX-05A-11R-A35L-07	1.375401e-01	4.142092e-01	7.881246e-02	4.673981e+00	0	2.849093e+00	1.228626e-01	2.350251e-01	6.775871e-01
TCGA-SR-A6MX-06A-11R-A35L-07	1.802267e+00	4.608080e-02	0	5.225730e+00	4.218547e-02	1.703561e+00	0	0	3.025059e-01
TCGA-SR-A6MX-01A-11R-A35L-07	1.776961e+00	5.011387e-01	7.677020e-02	4.744715e+00	7.329674e-02	1.840986e+00	2.886034e-02	0	3.020864e-01
TCGA-SR-A6MY-01A-11R-A35L-07	1.930599e+00	3.811984e-01	1.404773e+00	9.482258e-01	2.602292e-01	1.837128e+00	5.493699e-01	8.658109e-01	3.546966e+00
TCGA-SR-A6MZ-01A-11R-A35L-07	1.484838e+00	1.993780e+00	5.951604e-01	0	3.601783e-01	8.334746e-01	4.050394e-01	6.199906e-01	3.771359e+00
TCGA-SR-A6N0-01A-11R-A35L-07	1.587174e+00	2.849275e+00	5.637726e-01	1.529157e+00	2.731493e-01	1.306962e+00	1.748264e-01	2.598579e+00	1.761184e-01
TCGA-TT-A6YJ-01A-11R-A35L-07	1.940793e+00	3.027006e-02	3.383408e-01	2.431576e+00	0	0	0	2.448987e-01	4.605065e+00
TCGA-TT-A6YK-01A-11R-A35L-07	1.581504e+00	3.051768e-01	1.384432e+00	8.090435e-01	4.829422e-01	3.280772e+00	0	1.851027e+00	1.298515e+00
TCGA-TT-A6YN-01A-12R-A35L-07	2.301823e+00	3.079171e-01	7.086125e-01	7.896261e-01	4.242965e-01	3.671158e-01	0	8.637867e-01	4.165794e+00
TCGA-TT-A6YO-01A-11R-A35L-07	2.265321e-01	5.708537e+00	3.730245e-01	1.719799e+00	5.007696e-01	0	0	8.093780e-01	3.253166e-01
TCGA-TT-A6YP-01A-21R-A35L-07	2.593970e+00	0	0	2.286054e-01	3.707848e-01	4.290262e+00	0	2.039673e+00	0
TCGA-W2-A7H5-01B-11R-A35L-07	2.118519e+00	2.079334e-01	2.267380e-01	7.468483e-02	1.136497e+00	2.110160e-01	0	2.169370e-01	4.414424e+00
TCGA-W2-A7H7-01A-11R-A35L-07	1.459695e+00	6.479559e-01	2.562054e-01	3.379846e+00	6.730109e-02	2.661980e+00	4.278217e-02	1.004241e+00	2.257872e-01
TCGA-W2-A7HA-01B-11R-A35L-07	2.421537e+00	3.620091e-01	7.236504e-01	8.914057e-03	0	1.584228e+00	6.933076e-02	5.331041e-01	4.147497e+00
TCGA-W2-A7HB-01A-11R-A35L-07	2.202499e+00	9.794270e-01	3.046382e-01	1.155651e+00	3.904293e-02	0	1.775850e-01	1.702149e-01	4.641279e+00
TCGA-W2-A7HC-01A-11R-A35L-07	1.974973e+00	3.619266e-01	1.051512e+00	7.398345e-01	3.535899e-01	1.319640e+00	5.276299e-01	1.899053e-01	4.353633e+00
