sampleID	D7.3_REACTOME-GLUCURONIDATION	D13.10_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D13.8_REACTOME-BETA-DEFENSINS	D11.10_RUNNE-GENDER-EFFECT-UP	D12.7_chr11q11	D9.1_MIPS-CF-IIAM-COMPLEX
TCGA-CK-5916-01A-11R-1653-07	0	1.763411e-01	7.145921e-01	0	6.870495e-03	1.521851e+00
TCGA-CK-6746-01A-11R-1839-07	0	6.875352e-02	5.662500e-01	0	6.287425e-02	9.987777e-01
TCGA-CK-6747-01A-11R-1839-07	1.195824e+00	8.152468e-03	0	0	5.311204e-01	2.859788e+00
TCGA-CK-6748-01A-11R-1839-07	5.727635e-02	2.598384e-01	9.144887e-02	1.162555e-02	0	4.681354e+00
TCGA-CK-6751-01A-11R-1839-07	6.710075e-01	0	1.277924e-01	7.099779e-03	5.493637e-01	2.505257e+00
TCGA-CM-4743-01A-01R-1723-07	8.938311e-01	4.368642e-02	1.382192e+00	8.268681e-02	0	2.739959e-01
TCGA-CM-4744-01A-01R-A32Z-07	5.911958e-01	9.653553e-02	1.005952e+00	1.161808e-01	0	2.499768e+00
TCGA-CM-4747-01A-01R-1410-07	4.694848e-01	2.160650e-01	1.472277e-01	1.059784e-01	4.357994e-01	4.125139e+00
TCGA-CM-4751-01A-02R-1839-07	1.468842e+00	9.726162e-02	6.198561e-01	9.779133e-02	2.664617e-01	1.831674e+00
TCGA-CM-5344-01A-21R-1723-07	1.004805e+00	1.801486e-01	0	0	0	4.149465e+00
TCGA-CM-5348-01A-21R-1723-07	9.068792e-01	3.104387e-01	3.260397e-01	7.242732e-02	8.702657e-02	2.143389e+00
TCGA-CM-5349-01A-21R-1723-07	5.823865e-01	3.770324e-01	0	1.144103e-02	2.658366e-01	3.683754e+00
TCGA-CM-5860-01A-01R-1653-07	7.522221e-01	9.834266e-02	1.399616e-01	8.895073e-02	2.509371e-01	3.056541e+00
TCGA-CM-5861-01A-01R-1653-07	0	1.979513e-01	1.143686e+00	7.538091e-03	9.531787e-01	4.223371e-01
TCGA-CM-5862-01A-01R-1653-07	0	2.956688e-01	0	1.120500e-01	2.938589e-01	4.782500e+00
TCGA-CM-5863-01A-21R-1839-07	9.645667e-01	2.224222e-01	5.587940e-01	1.783172e-02	1.165903e+00	1.587062e+00
TCGA-CM-5864-01A-01R-1653-07	2.416952e-01	1.535230e-01	0	1.081320e-01	6.927498e-01	4.387643e+00
TCGA-CM-5868-01A-01R-1653-07	4.388567e-01	2.112222e-01	0	1.347622e-02	5.952432e-02	4.518505e+00
TCGA-CM-6161-01A-11R-1653-07	6.683542e-01	1.089366e-01	0	0	0	4.614327e+00
TCGA-CM-6162-01A-11R-1653-07	7.554767e-01	1.628676e-01	3.788964e-02	0	9.903262e-01	1.045992e+00
TCGA-CM-6163-01A-11R-1653-07	1.664169e+00	1.254215e-01	0	8.693923e-02	1.379591e-01	3.206563e+00
TCGA-CM-6164-01A-11R-1653-07	5.621253e-01	2.167786e-01	6.231489e-02	0	0	5.100259e+00
TCGA-CM-6165-01A-11R-1653-07	1.083132e+00	2.133290e-01	0	8.043710e-02	1.028435e-01	3.586197e+00
TCGA-CM-6166-01A-11R-1653-07	0	2.390846e-01	0	2.407511e-03	0	6.024316e+00
TCGA-CM-6167-01A-11R-1653-07	5.150464e-01	5.948715e-01	0	0	3.274342e-01	2.829920e+00
TCGA-CM-6168-01A-11R-1653-07	1.042625e+00	2.442481e-01	2.106628e-01	0	2.460449e-01	2.754629e+00
TCGA-CM-6169-01A-11R-1653-07	5.815788e-01	2.048625e-01	0	6.921309e-02	0	3.659648e+00
TCGA-CM-6170-01A-11R-1653-07	7.102001e-01	1.006743e-01	0	0	4.602135e-02	4.788894e+00
TCGA-CM-6171-01A-11R-1653-07	2.386271e-01	1.912122e-03	0	0	1.140633e+00	1.487205e+00
TCGA-CM-6172-01A-11R-1653-07	1.382854e+00	1.100613e-01	0	0	7.239585e-01	3.110540e+00
TCGA-CM-6674-01A-11R-1839-07	2.729822e-01	2.014903e-01	1.779694e-01	1.035388e-01	1.117403e+00	5.759961e-01
TCGA-CM-6675-01A-11R-1839-07	7.666359e-01	1.633071e-02	1.160501e+00	5.947946e-02	0	1.774355e+00
TCGA-CM-6676-01A-11R-1839-07	4.664661e-01	2.384901e-01	0	9.399732e-02	0	5.209994e+00
TCGA-CM-6677-01A-11R-1839-07	5.970267e-01	9.363833e-02	0	0	1.207778e-02	3.922574e+00
TCGA-CM-6678-01A-11R-1839-07	5.148470e-01	2.462164e-01	3.772485e-01	5.793353e-03	5.423532e-01	4.208843e+00
