sampleID	D6.6_GNF2-SPRR1B	D8.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.2_MODULE-103	D7.2_RUNNE-GENDER-EFFECT-UP	D6.2_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON
TCGA-D3-A8GR-06A-11R-A37K-07	4.737754e-02	7.022872e-01	3.263820e+00	2.125132e+00	6.632200e-01
TCGA-D3-A8GS-06A-12R-A37K-07	0	1.660803e+00	1.878597e+00	2.559884e+00	1.236953e+00
TCGA-D3-A8GV-06A-11R-A37K-07	0	2.974520e-01	2.857911e+00	2.520605e+00	2.239498e+00
TCGA-D9-A148-06A-11R-A18S-07	1.405649e-01	1.367833e+00	2.905190e+00	2.352126e+00	4.923972e-01
TCGA-D9-A149-06A-11R-A18S-07	1.216739e-01	1.681077e+00	2.201807e+00	3.414989e+00	0
TCGA-D9-A1JW-06A-11R-A18S-07	2.340981e-01	1.808643e+00	3.096187e+00	2.559102e+00	0
TCGA-D9-A1JX-06A-11R-A18S-07	0	1.666962e+00	9.040222e-01	1.450654e+00	2.060102e+00
TCGA-D9-A1X3-06A-11R-A18S-07	2.583783e-01	4.702218e-01	1.504822e+00	2.998356e+00	9.369703e-01
TCGA-D9-A3Z1-06A-11R-A239-07	0	1.703632e+00	2.794151e+00	3.752855e+00	0
TCGA-D9-A3Z3-06A-11R-A239-07	8.997078e-02	1.905796e+00	2.787936e+00	1.683766e+00	1.179232e+00
TCGA-D9-A3Z4-01A-11R-A239-07	5.918533e-02	1.602577e+00	9.557533e-01	1.438837e+00	2.467484e+00
TCGA-D9-A4Z2-01A-11R-A24X-07	1.783805e-01	9.330790e-01	6.705273e-01	1.290128e+00	3.494341e+00
TCGA-D9-A4Z3-01A-11R-A266-07	0	5.612390e-01	1.297753e+00	3.107530e+00	1.884771e+00
TCGA-D9-A4Z5-01A-11R-A266-07	9.981160e-02	1.049327e+00	1.180164e+00	1.446072e+00	2.851739e+00
TCGA-D9-A4Z6-06A-12R-A266-07	1.054027e-01	7.832477e-01	2.493861e+00	1.633568e+00	1.607474e+00
TCGA-D9-A6E9-06A-12R-A311-07	0	2.339479e+00	3.288400e+00	1.464548e+00	4.810954e-01
TCGA-D9-A6EA-06A-11R-A311-07	4.489949e-02	6.092424e-01	2.398871e+00	2.817678e+00	1.161613e+00
TCGA-D9-A6EC-06A-11R-A311-07	6.113839e-02	6.784115e-01	2.602195e+00	2.945384e+00	8.836382e-01
TCGA-D9-A6EG-06A-12R-A32P-07	1.287297e-01	3.817553e-01	3.212514e+00	3.312779e+00	4.511756e-01
TCGA-DA-A1HV-06A-21R-A18S-07	4.883430e-01	1.843651e+00	1.238342e+00	2.616005e+00	1.043028e+00
TCGA-DA-A1HW-06A-11R-A18U-07	8.457452e-02	1.949030e+00	1.474462e+00	1.920954e+00	1.360391e+00
TCGA-DA-A1HY-06A-11R-A18T-07	4.692484e-02	3.024808e-01	8.644158e-01	3.315795e+00	5.580705e+00
TCGA-DA-A1I0-06A-11R-A20F-07	0	1.205901e+00	4.758422e+00	1.682828e+00	8.540909e-01
TCGA-DA-A1I1-06A-12R-A18U-07	6.627079e-02	1.866977e+00	9.913155e-01	2.357542e+00	2.122915e+00
TCGA-DA-A1I2-06A-21R-A18U-07	1.923421e-02	1.667793e+00	6.225692e-01	1.849647e+00	2.118683e+00
TCGA-DA-A1I4-06A-11R-A18U-07	1.342123e-01	1.382159e+00	2.774781e+00	2.604704e+00	1.664520e+00
TCGA-DA-A1I5-06A-11R-A18T-07	3.058130e-01	1.774194e+00	2.169200e+00	2.222614e+00	2.114135e+00
TCGA-DA-A1I7-06A-22R-A18S-07	1.367888e-01	5.912829e-01	1.299453e+00	2.573991e+00	5.664221e+00
TCGA-DA-A1I8-06A-11R-A18T-07	1.347007e-01	3.564489e-01	1.409670e+00	2.348772e+00	5.455259e+00
TCGA-DA-A1IA-06A-11R-A18S-07	1.695816e-01	4.485083e-01	4.642324e+00	7.965883e-01	8.742268e-01
