sampleID	D18.13_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D18.18_GNF2-TTN	D13.2_MIPS-UTX-MLL2-3-COMPLEX	D18.1_GNF2-MKI67	D8.8_NIELSEN-SYNOVIAL-SARCOMA-UP	D12.4_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D15.12_NIKOLSKY-BREAST-CANCER-12Q13-Q21-AMPLICON	D15.7_MODULE-211	D18.10_REACTOME-BETA-DEFENSINS	D12.8_REACTOME-BETA-DEFENSINS
TCGA-DX-AB2H-01A-11R-A39D-07	0	0	2.072556e+00	2.480760e+00	1.910906e+00	2.901807e-01	7.400623e-01	4.761009e-01	0	3.411445e-01
TCGA-DX-AB2J-01A-11R-A38C-07	0	0	1.591287e+00	1.892579e+00	2.061822e+00	4.858353e-01	4.240010e-01	1.950373e-01	2.808083e-03	8.982581e-01
TCGA-DX-AB2L-01A-32R-A41I-07	0	0	1.596638e+00	1.827130e+00	2.341109e-01	7.769349e-01	0	2.502570e+00	2.224857e-01	0
TCGA-DX-AB2O-01A-12R-A39D-07	1.696709e-01	0	1.446023e+00	2.979026e+00	3.280113e-01	4.302280e-01	2.332810e-01	5.567690e-02	1.332024e+00	3.096156e-01
TCGA-DX-AB2P-01A-11R-A38C-07	0	0	1.875918e+00	2.586708e+00	0	1.547110e-01	0	2.700110e+00	0	2.958493e-01
TCGA-DX-AB2Q-01A-11R-A39D-07	0	0	2.005165e+00	2.543858e+00	0	2.177042e-01	0	1.684372e+00	6.437455e-02	0
TCGA-DX-AB2S-01A-11R-A39D-07	9.847254e-01	0	1.420156e+00	2.315563e+00	1.202373e-01	1.205337e-01	4.941059e-02	2.776351e-01	7.782603e-01	3.002577e-01
TCGA-DX-AB2T-01A-11R-A38C-07	3.353114e-01	0	1.852832e+00	2.587832e+00	0	2.675479e-01	0	4.625979e-01	1.032161e+00	3.201527e-01
TCGA-DX-AB2V-01A-11R-A41I-07	0	0	1.626665e+00	1.816406e+00	3.377628e-01	4.274161e-01	0	0	1.566250e+00	0
TCGA-DX-AB2W-01A-11R-A39D-07	1.079816e-01	3.399604e-01	6.737337e-01	2.647242e+00	0	0	0	1.632036e+00	1.893681e-01	8.937848e-03
TCGA-DX-AB2X-01A-11R-A38C-07	0	0	1.368508e+00	2.748722e+00	3.376327e-02	2.787909e-01	0	5.863410e-01	4.039797e-01	5.252608e-02
TCGA-DX-AB2Z-01A-11R-A38C-07	6.484270e-01	3.067466e-03	2.003547e+00	2.690493e+00	0	0	0	8.780900e-01	1.128110e-01	1.716227e-01
TCGA-DX-AB30-01A-11R-A39D-07	0	3.388261e-01	2.049213e+00	2.318591e+00	2.241053e+00	0	5.989969e-01	9.009917e-01	5.384103e-02	6.394140e-02
TCGA-DX-AB32-01A-11R-A41I-07	5.770300e-01	0	1.332624e+00	2.484612e+00	2.615678e-01	3.037005e-01	1.749720e-01	0	7.469645e-01	2.297247e-01
TCGA-DX-AB35-01A-21R-A41I-07	0	0	1.396699e+00	2.591477e+00	7.231964e-01	1.373503e-01	1.713422e+00	0	1.030096e+00	2.879577e-01
TCGA-DX-AB36-01A-11R-A41I-07	0	5.212346e-01	1.912234e+00	2.292043e+00	3.489811e-01	0	5.778186e-01	1.543129e+00	0	0
TCGA-DX-AB37-01A-11R-A41I-07	5.080199e-01	1.494225e-01	8.209559e-01	2.426115e+00	1.677268e-01	1.916153e-01	1.544234e-01	0	1.107480e+00	4.683225e-01
TCGA-DX-AB3A-01A-11R-A41I-07	0	0	1.719681e+00	2.388422e+00	1.269539e+00	4.803885e-01	1.648338e+00	5.240864e-02	4.029089e-02	7.658145e-02
TCGA-DX-AB3B-01A-11R-A41I-07	1.220397e-01	0	1.990425e+00	1.897829e+00	2.657949e+00	4.294681e-01	0	4.787022e-01	1.111302e-02	7.125995e-02
TCGA-DX-AB3C-01A-11R-A41I-07	0	0	1.059662e+00	2.383773e+00	3.180943e+00	4.546381e-01	0	0	0	1.090681e-01
TCGA-FX-A2QS-11A-11R-A21T-07	0	4.687761e-02	1.619166e+00	1.364844e+00	1.248147e+00	1.051917e+00	1.953946e-02	0	8.495084e-02	7.333356e-01
TCGA-FX-A2QS-01A-11R-A21T-07	5.465272e-02	0	2.366871e+00	2.420873e+00	8.391585e-01	1.326175e-03	1.076804e+00	5.278456e-01	1.722924e-01	3.546243e-01
