sampleID	D7.5_VALK-AML-CLUSTER-5	D8.3_ROSS-AML-WITH-PML-RARA-FUSION	D8.1_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D8.4_VALK-AML-CLUSTER-10	D9.7_SCHAEFFER-PROSTATE-DEVELOPMENT-AND-CANCER-BOX6-UP	D8.2_TCGA-GLIOBLASTOMA-MUTATED	D9.9_RUNNE-GENDER-EFFECT-UP
TCGA-AB-2972-03A-01T-0734-13	4.195293e-01	1.223104e-01	4.160603e+00	9.740107e-01	1.543837e+00	1.479637e+00	3.386111e-04
TCGA-AB-2973-03A-01T-0734-13	2.931722e+00	0	3.355653e+00	7.850602e-02	6.443005e-01	1.718043e+00	0
TCGA-AB-2975-03A-01T-0734-13	9.149229e-01	1.468225e+00	3.041674e+00	1.194325e+00	0	1.915737e+00	5.265490e-01
TCGA-AB-2976-03A-01T-0734-13	8.323284e-01	5.644375e-01	5.163771e+00	3.344815e-01	8.070446e-02	1.841355e+00	6.121372e-01
TCGA-AB-2977-03B-01T-0760-13	2.008301e+00	1.976043e+00	2.335031e+00	1.984069e+00	0	0	0
TCGA-AB-2978-03A-01T-0734-13	1.506906e+00	8.192687e-01	2.129483e+00	1.790263e+00	1.655139e+00	1.577149e+00	0
TCGA-AB-2979-03B-01T-0760-13	1.125028e+00	1.218843e+00	0	1.121859e+00	6.062853e-01	2.819279e+00	0
TCGA-AB-2980-03A-01T-0734-13	1.985137e-01	4.018270e+00	8.200291e-01	3.065288e-01	1.976541e+00	1.701091e+00	5.462189e-01
TCGA-AB-2981-03B-01T-0748-13	3.149448e+00	0	3.967972e+00	5.513598e-01	0	1.608230e+00	0
TCGA-AB-2982-03B-01T-0748-13	7.012107e-01	5.089563e+00	1.234707e-01	9.170612e-01	1.942558e+00	7.911333e-01	0
TCGA-AB-2983-03A-01T-0734-13	1.535447e+00	0	1.434676e+00	1.953484e+00	7.494897e-01	2.544376e+00	5.275169e-01
TCGA-AB-2984-03A-01T-0734-13	3.676421e-01	1.062671e+00	3.986987e+00	6.406211e-01	6.534704e-02	1.350314e+00	4.048857e-01
TCGA-AB-2985-03A-01T-0734-13	2.746041e+00	2.173307e-01	2.372406e+00	7.295047e-01	9.621117e-01	9.551478e-01	0
TCGA-AB-2986-03A-01T-0734-13	9.629002e-01	4.548540e-01	4.982498e+00	5.730676e-01	0	1.467055e+00	0
TCGA-AB-2987-03A-01T-0734-13	3.133267e+00	0	2.023215e+00	1.120966e+00	1.051477e+00	1.454349e+00	0
TCGA-AB-2988-03B-01T-0748-13	1.072744e+00	3.087709e-01	4.693597e+00	1.126093e+00	0	1.790482e+00	4.157376e-02
TCGA-AB-2990-03B-01T-0748-13	9.645912e-01	1.494595e+00	4.014941e+00	4.429617e-01	6.339530e-01	8.539385e-01	5.070835e-01
TCGA-AB-2991-03A-01T-0735-13	7.398272e-01	5.523736e+00	0	8.232911e-01	1.417704e+00	1.002332e+00	1.522308e-02
TCGA-AB-2992-03A-01T-0735-13	2.110244e+00	1.533731e+00	1.679192e+00	1.402340e+00	1.706956e+00	1.141184e+00	2.271964e-03
TCGA-AB-2993-03A-01T-0735-13	6.051822e-01	1.447889e+00	4.793840e+00	6.541682e-01	5.564441e-01	1.476451e+00	7.131585e-02
TCGA-AB-2994-03A-01T-0735-13	1.401609e+00	5.565720e+00	1.695231e-01	7.478073e-01	7.162803e-01	6.041961e-01	4.968319e-01
TCGA-AB-2995-03A-01T-0735-13	7.269068e-01	3.210957e-01	1.476128e+00	3.180324e+00	1.856929e+00	1.262585e+00	5.356307e-01
TCGA-AB-2996-03A-01T-0735-13	1.729463e+00	8.881652e-01	1.058989e+00	1.796006e+00	1.338273e+00	1.948769e+00	5.770020e-01
TCGA-AB-2998-03A-01T-0735-13	9.262406e-01	5.808294e+00	9.059852e-01	0	1.463278e-01	1.690662e+00	7.572345e-02
TCGA-AB-2999-03B-01T-0748-13	4.846703e-01	5.478161e+00	3.129586e-01	1.083976e-01	1.550216e+00	1.242108e+00	4.912336e-01
TCGA-AB-3000-03A-01T-0736-13	1.370008e+00	9.727831e-01	0	3.326719e-01	6.424138e-02	4.186180e+00	5.449783e-01
TCGA-AB-3001-03A-01T-0736-13	9.489828e-01	4.444941e+00	0	1.082957e+00	1.819089e+00	1.214703e+00	0
TCGA-AB-3002-03A-01T-0736-13	1.509974e+00	5.518128e-01	3.543462e-01	2.663820e+00	7.043628e-01	2.271049e+00	5.136225e-01
TCGA-AB-3005-03A-01T-0736-13	1.846631e+00	4.618514e-01	1.085358e+00	6.397636e-01	6.086008e-01	7.941116e-01	5.079690e-01
TCGA-AB-3006-03A-01T-0736-13	4.077244e-01	1.060121e+00	3.789893e+00	1.123047e+00	8.018747e-01	1.250620e+00	5.811268e-01
TCGA-AB-3007-03A-01T-0736-13	3.065527e-01	5.574624e+00	2.189079e-01	4.705345e-01	1.097023e+00	1.101925e+00	5.455284e-01
TCGA-AB-3008-03A-01T-0736-13	8.399183e-01	2.775286e-01	0	8.271412e-01	9.703699e-01	3.915713e+00	5.291277e-01
TCGA-AB-3009-03A-01T-0736-13	8.230492e-01	1.623969e+00	1.895115e-01	1.432928e+00	3.425772e-01	3.299745e+00	5.962872e-01
TCGA-AB-3011-03A-01T-0736-13	5.613501e-01	1.239715e+00	3.392092e+00	8.701444e-01	5.951740e-01	1.774183e+00	0
TCGA-AB-3012-03A-01T-0736-13	5.232674e-01	5.851555e+00	0	4.475523e-01	1.394944e+00	9.453332e-01	5.376815e-01
