sampleID	D9.8_REACTOME-GABA-A-RECEPTOR-ACTIVATION	D8.3_GNF2-BUB1	D9.4_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D9.2_GCM-AQP4	D6.3_GNF2-CDH11
TCGA-27-1830-01A-01R-1850-01	6.515500e-02	1.764049e+00	5.742712e-01	2.100912e+00	2.527498e+00
TCGA-27-1831-01A-01R-1850-01	1.072415e-01	0	2.283734e+00	2.064650e+00	1.649903e-01
TCGA-27-1832-01A-01R-1850-01	2.735952e-01	0	7.234554e-01	2.880669e+00	2.239666e+00
TCGA-27-1834-01A-01R-1850-01	4.885242e-01	8.737196e-01	4.563893e-01	3.473415e+00	1.573493e+00
TCGA-27-1835-01A-01R-1850-01	3.021629e-01	1.111380e-01	7.982435e-01	2.006803e+00	3.349607e-02
TCGA-27-1837-01A-01R-1850-01	5.805172e-01	1.479103e+00	6.696951e-01	1.084350e+00	7.277391e-01
TCGA-27-2519-01A-01R-1850-01	2.271172e-01	1.414828e+00	8.815232e-01	2.891453e+00	1.733342e+00
TCGA-27-2521-01A-01R-1850-01	0	2.619530e+00	1.347332e+00	1.837109e+00	1.440153e+00
TCGA-27-2523-01A-01R-1850-01	2.841548e-01	1.712994e+00	1.275864e+00	0	2.485192e-01
TCGA-27-2524-01A-01R-1850-01	3.706115e-01	7.755023e-01	1.789547e+00	6.980301e-02	1.139522e+00
TCGA-27-2526-01A-01R-1850-01	0	7.397350e-02	1.923879e+00	2.331729e+00	0
TCGA-27-2528-01A-01R-1850-01	4.842392e-01	7.447396e-01	1.004394e+00	9.924203e-01	7.273041e-01
TCGA-28-1747-01C-01R-1850-01	6.004815e-01	8.243615e-01	6.203394e-01	2.562437e+00	7.248962e-01
TCGA-28-1753-01A-01R-1850-01	2.933885e-01	1.776728e+00	5.814676e-01	7.748092e-01	1.963055e+00
TCGA-28-2499-01A-01R-1850-01	2.162991e-01	0	1.097426e+00	2.922354e+00	2.889035e-01
TCGA-28-2509-01A-01R-1850-01	3.153616e-02	7.158246e-02	9.650944e-01	1.701149e+00	1.494166e+00
TCGA-28-2510-01A-01R-1850-01	1.578876e+00	5.252556e-01	6.196302e-01	1.415150e+00	1.007540e+00
TCGA-28-2513-01A-01R-1850-01	3.760219e-02	3.782715e-01	1.012212e+00	1.458765e+00	1.832631e+00
TCGA-28-2514-01A-02R-1850-01	1.149801e+00	1.070660e+00	6.109549e-01	1.093807e+00	5.219829e-01
TCGA-28-5204-01A-01R-1850-01	3.344921e-01	8.124429e-01	9.537762e-01	9.987387e-01	3.487373e-01
TCGA-28-5207-01A-01R-1850-01	1.041469e+00	7.134039e-01	5.598592e-01	2.969594e+00	9.438665e-01
TCGA-28-5208-01A-01R-1850-01	3.494024e-01	7.687623e-01	1.134455e+00	1.249332e+00	9.137477e-01
TCGA-28-5209-01A-01R-1850-01	6.220930e-02	1.015925e+00	6.318982e-01	1.207685e+00	9.145606e-01
TCGA-28-5213-01A-01R-1850-01	0	2.176270e-02	1.604390e+00	3.168576e+00	1.806967e+00
TCGA-28-5215-01A-01R-1850-01	1.744217e-01	2.208895e+00	6.837336e-01	1.665887e+00	2.479924e+00
TCGA-28-5216-01A-01R-1850-01	3.031243e-01	2.033322e+00	1.081652e+00	1.568979e+00	1.959532e+00
TCGA-28-5218-01A-01R-1850-01	0	0	5.895989e-01	5.258585e-01	3.802531e+00
TCGA-28-5220-01A-01R-1850-01	1.362972e-01	3.481744e-01	1.206230e+00	4.230079e+00	7.106617e-01
TCGA-32-1970-01A-01R-1850-01	8.609736e-01	8.036892e-01	3.527030e-01	2.364464e+00	5.622057e-01
TCGA-32-1980-01A-01R-1850-01	1.438157e+00	4.825163e-02	8.850529e-01	1.412643e+00	1.311573e+00
TCGA-32-1982-01A-01R-1850-01	7.301123e-01	3.559789e-01	1.103422e+00	1.202381e+00	9.685166e-01
TCGA-32-2615-01A-01R-1850-01	5.461415e-01	4.976663e-01	6.535838e-01	1.958701e+00	1.626707e+00
TCGA-32-2616-01A-01R-1850-01	0	8.662673e-01	8.486685e-01	1.782445e+00	1.545728e+00
TCGA-32-2632-01A-01R-1850-01	5.208881e-01	0	7.268754e-01	2.446488e+00	1.211199e+00
TCGA-32-2634-01A-01R-1850-01	6.119849e-01	1.840444e+00	7.416759e-01	1.873593e+00	1.657974e+00
TCGA-32-2638-01A-01R-1850-01	4.788363e-01	4.453971e-01	5.968394e-01	1.170959e+00	1.190792e+00
TCGA-32-4213-01A-01R-1850-01	0	1.357846e+00	1.357096e+00	1.283306e+00	1.619578e+00
TCGA-32-5222-01A-01R-1850-01	2.754220e-01	4.777873e-01	1.658152e+00	1.585436e+00	5.203483e-01
TCGA-41-2571-01A-01R-1850-01	4.494391e-01	2.579978e+00	1.278191e+00	4.917997e-01	1.530433e+00
TCGA-41-2572-01A-01R-1850-01	3.678519e-01	2.079661e-01	1.106988e+00	1.284171e+00	4.260359e-01
TCGA-41-3915-01A-01R-1850-01	0	1.615113e+00	9.161525e-01	1.671145e+00	2.586161e+00
TCGA-41-4097-01A-01R-1850-01	9.261305e-01	1.318507e-01	5.250385e-01	1.762640e+00	1.776007e+00
TCGA-41-5651-01A-01R-1850-01	6.573869e-01	2.702499e+00	9.157412e-01	1.256748e+00	1.247849e+00
TCGA-76-4925-01A-01R-1850-01	0	1.083919e+00	1.012490e+00	9.347775e-01	9.192947e-01
TCGA-76-4926-01B-01R-1850-01	1.015984e+00	2.610975e-01	6.751630e-01	2.918340e+00	6.324610e-01
TCGA-76-4927-01A-01R-1850-01	1.650652e-01	1.240784e+00	9.502096e-01	1.031048e+00	1.667244e+00
TCGA-76-4928-01B-01R-1850-01	1.150895e-01	7.191831e-01	1.165069e+00	3.467180e-01	1.737819e+00
TCGA-76-4929-01A-01R-1850-01	2.125782e-01	1.599385e+00	7.342556e-01	2.939118e+00	1.814159e+00
TCGA-76-4931-01A-01R-1850-01	7.265880e-01	1.377444e+00	6.954669e-01	1.307848e+00	6.270106e-01
TCGA-76-4932-01A-01R-1850-01	1.067951e-01	8.835319e-01	1.147447e+00	9.916278e-01	3.633899e-01
