sampleID	D10.9_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D10.8_GNF2-CDH3	D10.7_CHASSOT-SKIN-WOUND	D10.6_PROTEIN-DEACETYLASE-ACTIVITY	D11.3_FARMER-BREAST-CANCER-CLUSTER-5	D11.8_BIOCARTA-ETC-PATHWAY
TCGA-DO-A2HM-01B-11R-A22L-07	1.344599e+00	9.619013e-01	0	2.384842e-01	2.340257e+00	5.793412e-01
TCGA-E3-A3DY-01A-11R-A20F-07	6.237043e-01	6.714762e-02	0	0	9.403080e-01	3.763380e-01
TCGA-E3-A3DZ-01A-11R-A20F-07	3.903815e-02	0	6.463883e-01	2.362801e+00	7.167557e-01	1.757882e-01
TCGA-E3-A3E0-01A-11R-A20F-07	4.341167e-01	6.330504e-01	6.739514e-01	1.275398e+00	4.522617e-01	2.936003e-01
TCGA-E3-A3E1-01A-11R-A20F-07	4.398905e-01	9.808718e-01	3.959824e-01	4.512104e-01	1.241704e+00	8.918998e-01
TCGA-E3-A3E2-01A-11R-A20F-07	1.017058e+00	0	5.182712e-01	2.090256e-01	9.527858e-01	1.781765e-01
TCGA-E3-A3E3-01A-11R-A20F-07	2.946596e-01	6.574563e-01	0	0	1.423957e+00	8.755245e-01
TCGA-E3-A3E5-01A-11R-A20F-07	1.798390e-01	0	1.638605e-01	8.609026e-01	1.322175e+00	1.233975e-01
TCGA-E8-A242-01A-21R-A16R-07	8.643405e-01	1.196563e+00	0	0	2.543560e+00	7.621130e-01
TCGA-E8-A2EA-01A-11R-A180-07	1.083804e+00	1.008343e+00	7.264204e-01	2.792545e-01	2.072768e+00	6.927658e-01
TCGA-E8-A2JQ-11A-11R-A180-07	1.465569e+00	0	1.960320e+00	0	5.964500e-01	5.428691e-01
TCGA-E8-A2JQ-01A-11R-A180-07	1.279655e+00	1.279255e+00	0	7.002259e-02	2.181578e+00	6.231240e-01
TCGA-E8-A3X7-01A-11R-A22U-07	3.150330e-01	4.612015e-01	5.290962e-01	2.494850e-01	2.303583e+00	7.699761e-01
TCGA-E8-A413-01A-21R-A23N-07	5.778454e-01	4.323638e-01	1.410918e+00	1.361170e-01	2.583655e+00	3.601264e-01
TCGA-E8-A414-01A-11R-A23N-07	6.303930e-01	4.544445e-01	1.318842e+00	5.066426e-01	2.511895e+00	2.744550e-01
TCGA-E8-A415-01A-11R-A23N-07	3.906646e-01	7.759568e-01	1.406365e+00	1.658631e-01	1.053056e+00	7.186939e-01
TCGA-E8-A416-01A-11R-A23N-07	3.994212e-01	1.741275e-02	3.050320e+00	2.689400e-02	1.199652e+00	4.792742e-01
TCGA-E8-A417-01A-21R-A23N-07	6.762897e-01	4.564965e-01	0	5.870843e-02	1.287516e+00	6.874754e-01
TCGA-E8-A418-01A-11R-A23N-07	4.037972e-01	8.285796e-01	0	2.221900e-01	1.252221e+00	1.063083e+00
TCGA-E8-A419-01A-11R-A23N-07	1.056594e+00	1.465203e+00	0	0	1.688093e+00	6.772241e-01
