sampleID	D7.6_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D12.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D7.7_GNF2-SERPINB5	D13.11_RUNNE-GENDER-EFFECT-UP	D7.5_EPITHELIAL-CELL-DIFFERENTIATION	D14.5_ANASTASSIOU-CANCER-MESENCHYMAL-TRANSITION-SIGNATURE	D13.2_REACTOME-BETA-DEFENSINS	D13.4_PID-INTEGRIN4-PATHWAY	D13.3_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN
TCGA-BT-A42C-01A-11R-A23N-07	2.929818e-01	3.111435e-01	5.305196e-01	6.111998e-01	8.297302e-01	3.406978e-03	1.842685e+00	5.552474e-01	7.867899e-01
TCGA-BT-A42E-01A-11R-A23W-07	9.353031e-02	9.631865e-01	1.581763e+00	5.528330e-01	0	4.257557e-01	3.260747e-01	2.209757e+00	2.495530e-01
TCGA-BT-A42F-01A-11R-A23W-07	7.603976e-02	1.137309e+00	1.483522e+00	5.454046e-01	4.092774e-02	3.367688e-01	2.006289e-01	1.569837e+00	0
TCGA-C4-A0EZ-01A-21R-A24X-07	7.823311e-01	1.484034e-01	6.369290e-01	1.426734e-01	4.528079e-01	5.118144e-01	2.224704e-01	2.943987e-03	5.016533e+00
TCGA-C4-A0F0-01A-12R-A10U-07	5.588153e-01	5.314588e-01	1.177967e+00	2.857035e-01	0	5.000573e-01	0	2.940528e+00	4.026863e-01
TCGA-C4-A0F1-01A-11R-A034-07	4.634226e-01	6.256663e-01	2.073700e+00	5.789431e-01	0	5.086814e-01	0	2.222397e+00	5.307961e-01
TCGA-C4-A0F6-01A-11R-A10U-07	7.428232e-01	1.684412e-01	6.732328e-01	3.391656e-01	1.055529e+00	8.229819e-01	1.273797e+00	6.270972e-01	1.154731e+00
TCGA-C4-A0F7-01A-11R-A084-07	8.956681e-01	1.169781e-01	1.562982e+00	5.810481e-01	2.349389e-01	4.213165e-01	6.165803e-01	1.054354e+00	2.069834e+00
TCGA-CF-A1HR-01A-11R-A13Y-07	7.596649e-01	4.969252e-01	2.344955e-01	5.401021e-01	1.053216e+00	3.439663e-01	1.833247e+00	5.184094e-02	7.614248e-02
TCGA-CF-A1HS-01A-11R-A13Y-07	3.294341e-01	5.402918e-01	1.812174e+00	3.806987e-01	2.803821e-01	5.505726e-01	3.201244e-01	2.240087e+00	1.213950e+00
TCGA-CF-A27C-01A-11R-A16R-07	0	3.722934e-02	1.123712e-01	1.019486e+00	2.055332e-01	0	3.346052e+00	1.873150e-01	1.687711e-01
TCGA-CF-A3MF-01A-12R-A21D-07	3.296222e-01	3.150608e-02	0	5.184811e-01	5.967138e-01	3.195143e-01	2.985517e+00	9.528658e-02	0
TCGA-CF-A3MG-01A-11R-A20F-07	0	0	2.248127e-01	7.582412e-01	6.225735e-01	0	2.751220e+00	2.582870e-01	1.351838e-01
TCGA-CF-A3MH-01A-11R-A20F-07	1.055108e-01	1.059585e-01	3.970555e-01	6.323972e-01	1.473701e-01	5.453661e-02	3.004526e+00	5.561748e-01	0
TCGA-CF-A3MI-01A-11R-A20F-07	3.874935e-01	3.862969e-01	1.201880e-01	4.002145e-01	7.349399e-01	3.410471e-01	2.679697e+00	3.929243e-01	0
TCGA-CF-A47S-01A-11R-A23W-07	1.036208e-01	5.076776e-01	0	5.627353e-01	2.526770e-01	1.161381e-02	3.239759e+00	4.569531e-01	0
TCGA-CF-A47T-01A-11R-A23W-07	3.482530e-01	5.387620e-03	3.857436e-01	2.627362e-02	3.176390e-01	5.196388e-01	3.145147e+00	4.178931e-01	1.021337e+00
TCGA-CF-A47V-01A-11R-A23W-07	4.627841e-01	4.805549e-01	0	7.532700e-01	1.315611e-01	1.915499e-01	3.199146e+00	4.347459e-01	0
TCGA-CF-A47W-01A-11R-A23W-07	9.262799e-02	2.809110e-01	0	3.670769e-01	0	1.817120e-01	3.667925e+00	0	4.461088e-01
TCGA-CF-A47X-01A-31R-A23W-07	3.415135e-01	1.296682e-01	0	6.578899e-01	8.433702e-01	0	2.796443e+00	1.964826e-01	1.266145e+00
TCGA-CF-A47Y-01A-11R-A23W-07	4.674193e-01	1.729576e-01	0	6.056990e-01	0	1.274359e-01	3.780839e+00	1.716719e-01	0
TCGA-CF-A5U8-01A-11R-A28M-07	1.520204e-01	1.477903e-01	0	4.605694e-01	0	1.157808e-01	3.524894e+00	3.420536e-01	3.610238e-02
TCGA-CF-A5UA-01A-11R-A28M-07	9.866086e-02	3.493686e-01	0	3.608351e-01	0	1.757786e-01	3.050780e+00	7.708750e-02	3.556739e-01
TCGA-CF-A7I0-01A-22R-A352-07	1.134003e+00	1.568443e-01	0	4.601814e-01	7.554854e-01	4.164555e-01	2.700981e+00	9.965880e-02	3.004217e-01
TCGA-CF-A8HX-01A-11R-A36F-07	2.692350e-01	1.256704e-01	1.448937e-02	5.086421e-01	4.322570e-01	3.040742e-01	3.102623e+00	1.683027e-03	4.587919e-01
TCGA-CF-A8HY-01A-11R-A36F-07	2.868951e-02	2.692194e-01	1.995820e-01	3.499499e-01	0	2.287926e-01	3.135110e+00	3.126259e-01	3.108474e-01
TCGA-CF-A9FF-01A-11R-A38B-07	8.176824e-01	4.943597e-01	0	4.765847e-01	1.001536e+00	3.346661e-01	2.426273e+00	1.787105e-01	8.504790e-02
TCGA-CF-A9FH-01A-11R-A38B-07	0	3.388296e-01	0	9.508741e-01	1.496456e-01	0	3.179212e+00	2.966885e-01	6.690070e-02
TCGA-CF-A9FL-01A-11R-A38B-07	9.277854e-01	2.710943e-01	3.134220e-01	7.660052e-01	8.061318e-01	8.863560e-01	2.352974e+00	3.885577e-01	6.799716e-01
TCGA-CF-A9FM-01A-11R-A38B-07	3.185345e-01	4.712684e-01	4.229177e-03	9.100288e-01	1.244550e-02	0	3.259813e+00	6.974191e-01	0
TCGA-CU-A0YN-11A-11R-A10U-07	2.916878e+00	0	0	8.901267e-01	0	3.382139e-01	0	1.892288e-01	7.470008e-01
TCGA-CU-A0YN-01A-21R-A10U-07	4.570827e-01	5.413058e-01	1.899711e+00	6.903648e-01	4.290902e-01	7.623952e-01	1.328448e-01	2.175883e+00	4.164540e-01
TCGA-CU-A0YO-01A-11R-A10U-07	1.331396e+00	5.394215e-01	5.738333e-01	5.605201e-01	7.239830e-01	2.756129e-01	1.877182e+00	7.963008e-01	7.874085e-02
TCGA-CU-A0YR-11A-13R-A10U-07	2.660584e+00	4.532020e-01	0	5.949003e-01	3.432390e-02	1.012864e-01	1.468526e+00	4.839689e-01	2.507341e-01
TCGA-CU-A0YR-01A-12R-A10U-07	5.657488e-01	5.675804e-01	2.104712e-01	5.244656e-01	1.789338e+00	8.007376e-01	4.195989e-01	1.196563e+00	7.498317e-01
TCGA-CU-A3KJ-01A-11R-A21D-07	8.734442e-02	5.620553e-01	1.868713e+00	1.094283e+00	0	2.340912e-01	0	2.112021e+00	6.927462e-01
TCGA-CU-A3QU-01A-11R-A22U-07	0	1.380272e-01	0	8.049762e-01	1.819770e+00	0	1.834967e-01	1.083186e-01	2.331550e-01
TCGA-CU-A3YL-01A-11R-A22U-07	7.042574e-01	3.342726e-01	0	6.446552e-01	9.933000e-01	3.420742e-01	2.584508e+00	0	7.486606e-01
TCGA-CU-A5W6-01A-11R-A28M-07	4.451746e-01	6.181562e-01	6.271174e-01	7.445868e-01	1.209611e+00	3.783263e-01	1.368127e+00	8.183149e-02	2.189734e-01
TCGA-CU-A72E-01A-12R-A33J-07	8.283310e-01	4.092624e-01	1.537362e+00	5.225419e-01	9.188372e-02	7.482700e-01	1.223815e+00	2.474864e-01	0
TCGA-DK-A1A3-01A-11R-A13Y-07	1.088732e+00	5.097053e-01	0	7.064217e-01	1.997892e+00	9.085052e-01	1.385460e-01	1.055548e-01	8.964816e-01
TCGA-DK-A1A5-01A-11R-A13Y-07	9.446362e-01	2.691730e-01	7.433970e-01	1.180706e+00	8.783050e-01	1.175651e+00	1.125582e+00	8.953305e-01	2.301424e-01
TCGA-DK-A1A6-01A-11R-A13Y-07	8.673802e-02	4.841698e-01	9.573165e-02	7.955643e-01	1.538991e+00	4.978672e-01	8.865226e-01	6.799427e-01	9.698214e-01
TCGA-DK-A1A7-01A-11R-A13Y-07	7.603352e-01	4.772446e-01	2.112483e-01	0	1.290034e+00	2.739103e-01	1.916308e+00	2.973568e-01	1.923209e+00
TCGA-DK-A1AA-01A-11R-A13Y-07	4.559087e-01	2.242978e-01	5.458205e-01	8.505552e-01	0	8.309080e-02	3.069339e+00	1.100727e+00	0
TCGA-DK-A1AB-01A-11R-A13Y-07	1.268988e+00	6.344835e-01	1.636248e+00	6.827217e-01	1.051619e-01	9.412104e-01	5.677213e-01	1.160766e+00	6.537283e-01
TCGA-DK-A1AC-01A-11R-A13Y-07	5.912524e-01	7.365973e-01	0	6.624577e-01	1.752592e+00	4.520267e-01	0	5.916979e-01	2.269314e+00
TCGA-DK-A1AD-01A-11R-A13Y-07	9.725456e-01	4.426168e-01	1.942411e-01	6.974715e-01	1.594731e+00	6.742340e-01	1.154288e+00	0	9.873868e-01
TCGA-DK-A1AE-01A-11R-A13Y-07	7.146520e-01	1.845664e-01	1.163601e+00	3.535507e-01	0	3.605175e-01	6.167930e-01	6.426448e-01	1.867504e+00
TCGA-DK-A1AF-01A-11R-A13Y-07	1.471591e+00	7.252689e-01	6.857601e-01	2.844966e-01	9.369521e-01	6.085937e-01	1.182793e+00	1.488902e+00	4.100982e-01
TCGA-DK-A1AG-01A-11R-A13Y-07	1.782383e-01	4.526902e-01	4.320195e-01	8.042004e-01	0	4.015256e-02	3.041014e+00	5.513706e-01	4.339571e-01
TCGA-DK-A2HX-01A-12R-A18C-07	1.604262e+00	2.581653e-01	2.052740e-01	4.992988e-01	1.561497e+00	9.643025e-01	1.722620e-01	3.807714e-01	4.113184e-01
TCGA-DK-A2I1-01A-11R-A180-07	1.164707e+00	7.339981e-01	0	2.204365e-01	1.776198e+00	1.155940e+00	1.086585e+00	9.014189e-02	5.239709e-01
TCGA-DK-A2I2-01A-11R-A180-07	5.103973e-01	9.538218e-01	1.546688e+00	2.195846e-01	3.067737e-02	7.628585e-01	0	2.311781e+00	8.751051e-01
TCGA-DK-A2I4-01A-11R-A21D-07	1.015735e+00	1.173219e+00	1.163488e-01	8.974118e-01	7.852969e-01	7.669099e-01	2.929632e-01	1.168159e+00	6.863899e-01
TCGA-DK-A2I6-01A-12R-A18C-07	1.392815e-01	2.111352e-01	9.418697e-01	5.796646e-01	2.582942e-01	6.122225e-01	4.475280e-01	1.712007e+00	8.124855e-01
TCGA-DK-A3IK-01A-32R-A21D-07	9.877626e-01	3.667366e-01	1.358707e-02	3.736336e-01	1.662085e+00	9.599655e-01	1.787897e+00	2.061621e-01	8.508348e-01
TCGA-DK-A3IL-01A-11R-A20F-07	1.019917e+00	6.628922e-02	2.430191e-01	3.151317e-01	1.704273e+00	9.876481e-01	1.267525e+00	0	9.882594e-01
TCGA-DK-A3IM-01A-11R-A20F-07	0	1.724369e-01	2.265405e+00	4.177193e-01	0	3.116562e-01	1.845635e-02	2.464408e+00	1.589634e+00
TCGA-DK-A3IN-01A-11R-A20F-07	7.755298e-01	5.717171e-01	7.835008e-01	4.326872e-01	1.041865e+00	1.083201e+00	4.243854e-01	1.866519e+00	1.111496e+00
TCGA-DK-A3IQ-01A-31R-A32Y-07	1.935707e+00	6.325403e-02	5.424091e-01	8.023161e-01	8.318398e-01	1.565659e+00	1.026188e+00	4.452934e-01	3.666149e-01
TCGA-DK-A3IS-01A-21R-A21D-07	2.916880e-02	3.315434e-01	5.248308e-01	7.867490e-01	2.716582e-01	0	2.658415e+00	2.194823e-01	9.996240e-01
TCGA-DK-A3IT-01A-31R-A20F-07	1.091461e+00	3.640976e-01	3.213707e-01	7.217955e-01	1.576876e+00	1.034196e+00	9.739004e-01	4.540906e-01	3.295054e-01
TCGA-DK-A3IU-01A-11R-A20F-07	1.343125e+00	1.042810e+00	6.476557e-01	6.059521e-01	6.945642e-01	1.036396e+00	0	9.925389e-01	1.019576e+00
TCGA-DK-A3IV-01A-22R-A21D-07	2.859235e-01	8.680169e-01	0	8.624099e-01	1.338846e+00	0	1.071065e+00	2.268555e-01	8.696175e-01
TCGA-DK-A3WW-01A-22R-A23N-07	0	1.224662e+00	1.506689e+00	6.386926e-01	0	1.094301e-01	2.513945e-01	2.576060e+00	7.736899e-03
TCGA-DK-A3WX-01A-22R-A22U-07	4.676589e-01	7.299473e-01	1.790861e+00	3.934958e-01	0	7.581786e-01	7.468520e-02	2.534552e+00	1.089498e+00
