sampleID	D16.12_ZHOU-PANCREATIC-ENDOCRINE-PROGENITOR	D14.11_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D15.13_GNF2-SERPINI2	D14.4_ANASTASSIOU-CANCER-MESENCHYMAL-TRANSITION-SIGNATURE	D8.4_MODULE-106	D16.1_MIPS-UTX-MLL2-3-COMPLEX	D14.7_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D15.5_REACTOME-BETA-DEFENSINS	D9.8_GNF2-SERPINB5	D16.15_chr11q11
TCGA-IB-A5SQ-01A	6.716316e-01	3.916295e-01	0	1.429209e+00	3.621361e-02	2.858710e+00	7.265006e-01	0	7.568406e-01	1.760702e-01
TCGA-US-A77G-01A	2.229235e-01	8.424606e-02	3.561258e-01	1.972482e-01	2.413603e+00	2.577094e+00	4.408208e-01	2.312438e-01	1.836149e-01	5.560424e-02
TCGA-US-A77E-01A	1.546287e-01	8.346783e-02	0	1.230370e+00	1.921833e+00	2.201129e+00	8.254872e-01	2.948260e-01	1.164693e-01	3.316755e-01
TCGA-Q3-A5QY-01A	0	1.314285e+00	0	1.014915e+00	9.734512e-01	2.061279e+00	7.658673e-01	0	5.991758e-01	0
TCGA-IB-A5ST-01A	0	9.264891e-01	0	1.276473e+00	1.421033e+00	2.606561e+00	1.127338e+00	0	2.400696e-01	3.576708e-01
TCGA-IB-A5SO-01A	4.032140e-01	5.161159e-01	0	1.422257e+00	1.434472e+00	2.238263e+00	5.542462e-01	2.131694e-01	2.711948e-01	1.628751e-01
TCGA-IB-A5SS-01A	8.652915e-02	1.056494e-01	0	1.797155e+00	4.976079e-01	2.949134e+00	3.978472e-01	0	1.157386e+00	8.564164e-02
TCGA-IB-A6UF-01A	1.607226e-01	0	8.112966e-02	7.002161e-01	6.055629e-01	2.597750e+00	3.654388e-01	1.022340e+00	9.490199e-01	0
TCGA-HV-A7OL-01A	1.622059e-01	5.420744e-01	0	1.164186e+00	2.154618e+00	1.204277e+00	9.458369e-02	0	9.736245e-01	4.767396e-02
TCGA-IB-A6UG-01A	1.370565e-01	4.259669e-01	4.800895e-01	5.694659e-01	3.532515e-01	2.451007e+00	3.808143e-01	8.239724e-01	8.360461e-01	0
TCGA-HZ-A77P-01A	1.733900e-01	7.240349e-03	8.122023e-02	6.694781e-01	1.262025e+00	2.314917e+00	2.221172e+00	3.364226e-01	0	4.201426e-01
TCGA-HZ-A77O-01A	1.527366e-01	1.134790e-01	4.307967e-01	1.325578e+00	6.896400e-01	2.450426e+00	4.717034e-01	5.719784e-01	1.107283e+00	1.573628e-01
TCGA-LB-A7SX-01A	2.136791e-01	2.546103e-01	0	6.008682e-01	1.578729e+00	2.466064e+00	8.770656e-01	1.507193e-01	9.029179e-01	0
TCGA-RB-A7B8-01A	2.767958e-01	3.803164e-01	0	1.799466e+00	1.623979e+00	2.340422e+00	8.121443e-01	0	9.373054e-03	1.135033e-01
TCGA-US-A776-01A	2.144464e-02	2.283255e-01	0	2.236903e-01	2.209011e+00	2.073504e+00	3.273051e-01	0	0	3.475935e+00
TCGA-HZ-A8P0-01A	9.278244e-02	2.500263e-01	9.857845e-03	1.173235e+00	1.387589e+00	2.077929e+00	7.203801e-01	9.038671e-01	1.107585e-01	1.631285e-01
TCGA-IB-A7LX-01A	0	1.415738e-01	0	8.482592e-01	9.438386e-01	2.799765e+00	3.373712e-01	6.905213e-01	1.353110e+00	9.681115e-02
TCGA-HZ-A77Q-01A	0	6.601433e-01	0	1.616395e+00	1.435815e+00	2.713512e+00	1.100771e+00	0	3.386877e-01	1.343551e-01
TCGA-IB-A7M4-01A	1.864194e-01	3.562290e-01	0	9.577550e-01	1.399168e+00	2.108339e+00	2.250754e-01	3.459776e-01	1.295034e+00	5.744253e-01
TCGA-XN-A8T5-01A	3.956106e-01	7.628432e-01	0	1.027226e+00	6.855094e-01	2.745354e+00	1.268676e+00	0	3.414007e-01	0
TCGA-LB-A8F3-01A	3.706837e-01	0	3.233220e-01	1.030557e+00	1.285165e-01	2.267821e+00	7.499156e-01	7.826546e-01	9.516098e-02	4.141783e-01
TCGA-YB-A89D-01A	4.678864e-01	1.908131e-01	0	1.473795e+00	1.608169e+00	2.274554e+00	6.940137e-01	0	2.894200e-01	2.275495e-01
TCGA-YY-A8LH-01A	2.737691e-01	1.903075e-01	0	5.920271e-01	2.554130e+00	2.531322e+00	2.672776e-01	2.471950e-02	7.466839e-01	2.879282e-01
TCGA-S4-A8RP-01A	3.887450e-01	2.025772e-01	6.003277e-04	1.193234e+00	1.688195e+00	2.716652e+00	7.982474e-01	6.025812e-01	1.770015e-01	2.892075e-01
TCGA-XN-A8T3-01A	4.000694e-01	2.043865e-01	1.835407e-01	1.138503e+00	0	2.625529e+00	4.876014e-01	7.139463e-01	6.813877e-01	0
TCGA-F2-A8YN-01A	1.267290e-01	0	0	1.318185e+00	1.789367e+00	2.265041e+00	4.690609e-01	2.844959e-01	5.624176e-01	1.265614e-01
TCGA-S4-A8RO-01A	4.089771e-01	1.935471e-01	0	1.257461e+00	1.314153e+00	2.827813e+00	3.577453e-01	1.378903e-01	9.766303e-01	1.317136e-01
TCGA-HZ-A8P1-01A	2.094830e-01	3.087281e-02	0	6.506549e-01	2.703182e+00	2.265543e+00	4.795991e-01	2.264996e-01	0	6.396701e-01
TCGA-IB-AAUM-01A	3.385101e-01	4.280144e-01	5.256239e-01	7.207628e-01	9.447808e-01	2.318812e+00	8.842714e-01	5.033393e-01	0	3.009493e-01
TCGA-IB-AAUP-01A	2.028908e-01	9.414808e-01	0	1.092728e+00	1.130629e+00	2.349228e+00	7.273621e-01	6.314144e-02	4.139534e-01	9.054384e-02
TCGA-IB-AAUT-01A	2.643726e-01	4.058165e-01	1.216568e-01	1.035442e+00	6.868117e-01	2.370894e+00	8.531269e-01	1.044167e+00	0	3.816460e-01
TCGA-YH-A8SY-01A	6.318032e-02	9.689236e-02	0	2.215236e+00	1.081605e+00	2.356370e+00	4.919316e-01	0	9.685975e-01	7.883455e-02
TCGA-IB-AAUU-01A	3.299485e-01	1.239158e-01	0	9.343070e-01	2.020042e+00	2.485538e+00	3.876785e-01	4.996535e-01	3.733179e-01	1.285175e-01
TCGA-IB-AAUS-01A	1.704621e-01	5.578852e-01	0	1.827762e+00	5.989644e-01	2.639552e+00	9.750617e-01	3.483281e-01	3.745521e-01	0
TCGA-Q3-AA2A-01A	0	3.015234e-01	0	1.262504e+00	2.605824e+00	2.467433e+00	9.154557e-01	0	3.145146e-01	3.326049e-01
TCGA-S4-A8RM-01A	1.740690e-01	2.457917e-01	0	5.898577e-01	2.985536e+00	2.891193e+00	6.058334e-01	1.088318e-01	0	1.977191e-01
TCGA-2L-AAQA-01A	1.285648e-01	2.812386e-02	0	1.191222e+00	2.425509e+00	2.490359e+00	3.206427e-01	1.181012e-02	3.024922e-01	0
TCGA-2L-AAQL-01A	4.249478e-01	6.343117e-02	6.030902e-02	8.905860e-01	1.359758e+00	1.583651e+00	8.970543e-01	5.241271e-01	3.236483e-01	2.120691e-02
