sampleID	D15.15_GNF2-BUB1	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D12.10_AIGNER-ZEB1-TARGETS	D8.3_BOYAULT-LIVER-CANCER-SUBCLASS-G56-UP	D10.8_chr11q11	D19.17_MODULE-78	D14.1_REACTOME-RECYCLING-OF-BILE-ACIDS-AND-SALTS	D19.16_CHIANG-LIVER-CANCER-SUBCLASS-POLYSOMY7-UP	D17.9_REACTOME-BETA-DEFENSINS	D19.5_THUM-MIR21-TARGETS-HEART-DISEASE-UP	D17.12_REACTOME-BETA-DEFENSINS	D14.4_MIPS-UTX-MLL2-3-COMPLEX	D14.7_RUNNE-GENDER-EFFECT-UP	D17.17_LY-AGING-MIDDLE-DN
TCGA-BD-A3ER-01A-11R-A213-07	0	1.577674e-01	6.155482e-02	6.342262e-01	4.543156e-01	1.221584e-02	1.934701e+00	1.879070e-01	0	6.778795e-01	4.339790e-01	1.024317e+00	7.198609e-01	0
TCGA-BW-A5NO-01A-11R-A27V-07	4.139938e-01	2.837563e-01	0	4.106773e-01	0	1.089570e-01	2.838597e+00	1.474145e-01	1.042038e-01	0	6.198506e-02	1.038280e+00	1.376869e+00	0
TCGA-BW-A5NP-01A-11R-A27V-07	0	0	4.414107e-01	1.078080e+00	1.156690e-01	1.621804e-01	0	0	1.376227e+00	1.239491e-01	0	1.279387e+00	9.428541e-01	0
TCGA-BW-A5NQ-01A-11R-A27V-07	3.540887e-01	4.737017e-01	0	3.570579e+00	3.284661e-01	0	3.086171e-01	0	6.737073e-01	0	0	9.588876e-01	1.613767e+00	0
TCGA-CC-5258-01A-01R-A131-07	0	6.248960e-02	0	5.513260e-01	6.382588e-01	0	0	0	1.549022e+00	0	0	1.773031e+00	1.564155e+00	0
TCGA-CC-5259-01A-31R-A213-07	0	1.762050e-03	0	9.012804e-01	5.837020e-01	3.278227e-02	3.990876e-01	0	4.748111e-01	0	7.837778e-01	7.616244e-01	1.219207e+00	1.778224e-01
TCGA-CC-5260-01A-01R-A131-07	0	6.704999e-02	1.686325e+00	2.711831e-01	0	0	0	0	0	6.718125e-01	0	1.232921e+00	5.944672e-01	0
TCGA-CC-5261-01A-01R-A131-07	0	1.953844e-01	6.874203e-01	0	0	3.751690e-02	5.898817e-01	0	6.788359e-01	1.091587e+00	0	1.338550e+00	6.688618e-01	3.307527e-02
TCGA-CC-5262-01A-01R-A131-07	0	2.968912e-01	7.723305e-02	1.538210e+00	1.030173e-01	0	1.467654e+00	0	0	6.744901e-01	1.757532e-01	6.568205e-01	1.121605e+00	0
TCGA-CC-5263-01A-01R-A131-07	1.232053e-01	6.070280e-02	4.314005e-01	0	1.170495e-01	0	0	4.563925e-02	8.474898e-03	0	1.302639e-01	1.890860e+00	8.549458e-01	4.687426e-01
