sampleID	D20.18_BRCA-Her2+	D29.14_Nonspecific	D28.6_UCEC	D29.25_Nonspecific	D28.23_TGCT	D28.16_Nonspecific	D29.10_PRAD	D29.22_SKCM	D28.19_LIHC	D29.27_LUAD	D28.11_BRCA-Chr8qAmp	D29.26_STAD+ESCA(Digestive)	D29.13_GBM+LGG	D27.13_BRCA-Luminal	D29.24_BLCA	D29.9_PCPG	D14.8_KIRC+KIRP(Pan-Kidney)	D21.5_COAD+STAD+ESCA(Pan-GI)	D27.24_BRCA-Basal	D21.12_THCA	D16.12_Pan-Squamous	D28.15_ACC	D29.18_NA	D29.1_NA	D20.2_NA
KIRP_FFF322EC_6F9A_42E4_879B_6439754FE484_X023_S13_L097_B1_T1_P056	0	6.527705e-01	0	0	6.508070e-01	1.264971e+00	0	2.699830e-03	6.945107e-02	0	5.162650e-02	0	0	0	0	3.925979e-01	4.784910e+00	2.542304e-01	0	7.314406e-01	0	3.024033e-01	4.644478e-01	4.775689e+00	1.895838e+00
KIRP_FFF322EC_6F9A_42E4_879B_6439754FE484_X023_S13_L098_B1_T2_P055	0	6.574849e-01	0	0	6.651871e-01	1.329675e+00	0	0	1.874734e-02	0	6.277981e-02	0	0	0	0	2.768227e-01	4.925933e+00	2.945359e-01	0	6.876390e-01	0	3.801757e-01	5.063140e-01	3.486572e+00	1.026399e+00
LGGx_116B070A_3412_4866_87B9_8337AD92CA94_X022_S11_L066_B1_T1_P050	0	9.089827e-01	8.030723e-03	0	0	0	0	0	0	0	4.134712e-01	0	6.583899e+00	0	0	1.970854e+00	0	0	0	0	0	0	2.123213e-01	1.607528e+00	0
LGGx_116B070A_3412_4866_87B9_8337AD92CA94_X022_S11_L067_B1_T2_P048	0	9.132023e-01	1.158659e-02	0	0	0	0	0	0	0	4.214652e-01	0	6.451430e+00	0	0	2.050726e+00	0	0	0	0	0	0	2.420914e-01	1.518201e+00	0
LGGx_2B03F922_2B01_4A7B_988A_BFE9C3BDED00_X030_S02_L027_B1_T1_P075	0	1.121731e+00	6.350267e-02	0	0	0	2.519337e-02	0	0	0	4.011738e-01	0	6.240790e+00	0	0	2.742702e+00	0	0	0	0	0	0	7.530438e-01	6.857561e-01	0
LGGx_2B03F922_2B01_4A7B_988A_BFE9C3BDED00_X030_S02_L028_B1_T2_P081	0	1.145422e+00	7.601722e-02	0	0	0	3.488847e-02	0	0	0	3.882118e-01	0	6.332762e+00	0	0	2.630690e+00	0	0	0	0	0	0	7.326270e-01	2.480952e-01	0
LGGx_2F543B87_3A9F_4B55_9E8D_10B5AB94CE51_X034_S07_L129_B1_T1_P074	0	9.651250e-01	0	0	0	0	0	2.416387e-01	0	0	1.850255e-01	0	4.837182e+00	0	0	2.483671e+00	2.576915e-01	0	0	0	0	0	2.316743e-01	3.901387e+00	4.541636e-01
LGGx_2F543B87_3A9F_4B55_9E8D_10B5AB94CE51_X034_S07_L130_B1_T2_P081	0	9.528362e-01	0	0	0	0	0	1.283967e-01	0	0	1.991704e-01	0	4.976811e+00	0	0	2.469803e+00	3.078758e-01	0	0	0	0	0	2.139288e-01	4.084172e+00	4.658742e-01
LGGx_4E978019_CC7B_42B2_9396_8EEAF92432E4_X019_S03_L053_B1_T2_P045	0	9.067639e-01	0	0	0	0	5.430221e-01	0	0	0	4.092575e-01	0	6.828020e+00	0	0	2.087652e+00	0	0	0	0	0	0	4.887033e-01	7.259187e-01	0
LGGx_56FF7516_4BDD_4A58_8549_8AD0F007B970_X014_S09_L018_B1_T2_P032	0	5.220149e-01	0	0	0	0	0	0	0	0	2.820577e-01	0	5.946909e+00	0	0	1.249240e+00	0	0	0	0	0	0	2.803061e-01	2.680126e+00	1.398661e-01
LGGx_628A914A_4A96_4811_9479_2D8D447AF9E2_X013_S07_L061_B1_T1_P022	3.222657e-02	9.598830e-01	4.932538e-02	0	0	0	0	1.288556e-01	0	0	5.365415e-01	0	6.310515e+00	0	0	2.769623e+00	0	0	0	0	0	0	4.674379e-01	4.833307e-01	1.071647e-01
LGGx_628A914A_4A96_4811_9479_2D8D447AF9E2_X013_S07_L062_B1_T2_P028	5.071096e-02	9.752355e-01	4.631955e-02	0	4.502452e-03	0	0	1.787677e-01	0	0	5.321920e-01	0	6.297408e+00	0	0	2.705078e+00	0	0	0	0	0	0	4.563218e-01	0	0
LGGx_7BCD063E_F270_458F_9376_729BE2F3E2C6_X015_S02_L027_B1_T1_P037	0	6.966648e-01	0	0	0	0	1.259265e-01	0	0	0	3.437152e-01	0	5.620798e+00	0	0	1.839317e+00	0	0	0	0	0	1.771601e-01	5.526383e-01	1.410753e+00	0
LGGx_7BCD063E_F270_458F_9376_729BE2F3E2C6_X015_S02_L028_B1_T2_P036	0	6.671035e-01	0	0	0	0	1.068568e-01	0	0	0	3.645127e-01	0	5.748021e+00	0	0	1.776253e+00	0	0	0	0	0	1.466343e-01	5.339813e-01	1.860835e+00	0
LGGx_9A5916F6_43DA_40ED_A66A_7459EEBC8474_X018_S01_L025_B1_T1_P042	0	4.889326e-01	0	1.246425e-01	0	0	0	0	0	0	6.063396e-01	0	5.743303e+00	0	0	6.475423e-01	0	0	0	7.067617e-02	0	0	5.206554e-01	2.847737e+00	1.253494e-01
LGGx_9A5916F6_43DA_40ED_A66A_7459EEBC8474_X018_S01_L026_B1_T2_P044	0	5.077448e-01	0	1.118486e-01	0	0	0	0	0	0	5.933271e-01	0	5.641034e+00	0	0	7.243606e-01	0	0	0	1.413781e-01	0	0	5.790348e-01	3.029161e+00	3.077442e-01
LGGx_A6ED3CBE_E7FD_469C_BF98_07418F13E51B_X037_S06_L059_B1_T1_P094	0	6.905329e-01	1.013106e-01	0	2.750049e-01	6.947779e-01	0	7.387664e-01	0	0	1.005459e-02	0	5.531333e+00	0	0	1.541483e+00	5.758960e-02	0	0	0	0	0	1.120553e+00	1.668764e+00	1.235196e+00
LGGx_A6ED3CBE_E7FD_469C_BF98_07418F13E51B_X037_S06_L060_B1_T2_P087	0	7.111624e-01	1.206958e-01	0	2.695623e-01	6.759734e-01	0	7.117473e-01	0	0	2.096769e-02	0	5.559012e+00	0	0	1.581523e+00	1.212060e-01	0	0	0	0	0	1.144570e+00	2.202331e+00	1.436323e+00
LGGx_B0E1CD4B_FE13_4964_A0BB_59DFBA5A94BB_X020_S08_L015_B1_T1_P051	0	4.992719e-01	0	0	2.779944e-01	0	0	1.528346e+00	0	0	2.000173e-01	0	5.174909e+00	0	0	1.360101e+00	0	0	1.842045e-01	4.571129e-02	0	0	1.504626e-01	2.195738e+00	1.656232e+00
LGGx_B0E1CD4B_FE13_4964_A0BB_59DFBA5A94BB_X020_S08_L016_B1_T2_P048	0	5.302456e-01	0	0	2.801160e-01	0	0	1.532018e+00	0	0	1.919038e-01	0	5.147767e+00	0	0	1.397011e+00	0	0	1.712417e-01	6.313242e-02	0	0	1.524934e-01	2.405992e+00	1.819766e+00
LGGx_D032E98E_01EF_40D9_A839_F88F5E1F3DAF_X017_S03_L005_B1_T1_P046	0	7.358273e-01	0	0	0	0	2.481216e-02	0	0	0	2.432153e-01	0	5.349711e+00	0	0	1.495408e+00	0	0	0	0	0	0	3.762404e-01	1.720928e+00	0
