sampleID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
Pancreas_56373	5.597767e-02	1.627709e-01	2.904282e-02	1.849430e-01	1.722710e-01	2.046166e-01	1.184175e-01	3.100436e-01	1.208738e-03	2.323385e-01	0	1.207439e-01	9.790204e-02	8.868755e-02	1.642526e-01	1.552493e-01
Pancreas_56374	7.932758e-02	2.538005e-02	5.376606e-02	3.075273e-01	1.617872e-01	2.249300e-01	1.058274e-01	3.445822e-01	4.070322e-02	2.625160e-01	0	3.537796e-02	3.412769e-02	1.038520e-01	1.467375e-01	1.690426e-01
Pancreas_56541	8.211478e-02	1.898894e-01	6.841432e-02	3.457333e-01	2.071699e-01	4.080067e-01	1.197992e-01	2.912458e-01	1.011227e-01	2.296180e-01	0	0	0	0	1.332738e-01	3.829625e-01
Pancreas_56542	3.086280e-02	8.515517e-02	4.919820e-02	1.697365e-01	1.692189e-01	3.826459e-01	1.427119e-01	3.069899e-01	2.207916e-02	3.270873e-01	0	1.216353e-01	0	1.136926e-01	1.396617e-01	3.275346e-01
Pancreas_56375	8.114285e-02	1.011283e-01	7.884548e-03	4.781404e-01	2.267040e-01	2.646726e-01	1.176474e-01	2.165723e-01	8.775196e-02	7.681409e-02	1.021358e-01	4.488388e-02	1.249990e-01	0	1.852912e-01	2.057935e-01
Pancreas_56535	6.814571e-02	6.336163e-02	3.855664e-02	1.070035e-01	1.722508e-01	4.137758e-01	1.422693e-01	3.114796e-01	0	2.909110e-01	0	1.246927e-01	6.585977e-02	1.588921e-01	1.256193e-01	2.260190e-01
Pancreas_54175	5.841056e-02	2.015424e-01	3.406534e-02	2.634406e-02	2.189633e-01	2.411335e-01	2.665213e-01	2.718340e-01	0	1.975781e-01	1.507619e-01	7.979599e-02	1.619090e-01	5.729776e-02	1.516531e-01	2.286112e-01
Pancreas_54301	1.183026e-01	8.932552e-02	2.869198e-02	3.879643e-01	2.143614e-01	2.740111e-01	3.226587e-01	1.968997e-01	5.414383e-02	1.032195e-01	0	0	1.081444e-01	0	2.023190e-01	2.969184e-01
Pancreas_54291	5.753327e-02	8.289860e-02	8.132010e-02	1.834997e-02	1.966690e-01	2.844110e-01	3.571397e-01	2.735242e-01	9.243954e-02	1.221878e-01	2.328228e-01	8.430398e-02	0	7.244216e-02	1.674734e-01	2.855892e-01
Pancreas_54302	3.323754e-02	7.127006e-02	3.143871e-02	2.111977e-02	2.168859e-01	3.098331e-01	2.064842e-01	3.379875e-01	1.449156e-02	3.022328e-01	8.690052e-02	0	1.735341e-02	2.073278e-01	1.435443e-01	2.568923e-01
Pancreas_54303	3.404281e-02	2.015645e-01	4.325397e-02	4.539818e-02	1.956975e-01	3.257885e-01	7.899067e-02	3.177659e-01	0	2.075655e-01	6.241595e-02	1.406142e-01	1.664494e-01	8.690157e-02	1.037539e-01	2.367735e-01
Pancreas_54172	4.605187e-02	1.316854e-01	1.083139e-01	1.078117e-02	1.957701e-01	1.845025e-01	2.524932e-01	2.610480e-01	7.469733e-02	9.777619e-02	3.671215e-01	9.113096e-02	4.827069e-02	0	1.239522e-01	2.327308e-01
