geneID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
LOC728257	2.891984e-01	9.880173e-02	3.491088e-01	3.376628e-01	5.006030e-02	0	5.096263e-01	4.830843e-01	0	0	6.553773e-02	1.704748e-01	1.732068e-01	4.090913e-01	5.629584e-01	0
LOC728264	7.730730e-01	1.762578e+00	2.451261e-02	2.521433e-01	0	0	1.433238e+00	0	1.686838e+00	3.462573e+00	3.059303e+00	1.842294e+00	5.760106e-01	0	3.017271e+00	0
LOC728295	4.830829e-01	5.416291e-01	4.598445e-01	4.433156e-01	1.916902e-02	1.602260e-01	8.203525e-01	7.298080e-01	1.262983e+00	0	1.180969e+00	1.739420e-01	7.734525e-01	2.377473e-01	2.114600e+00	2.174336e-01
LOC728323	1.504576e+00	1.049245e+00	9.845376e-01	1.447170e+00	1.994939e+00	8.358096e-01	2.090277e+00	9.124396e-01	9.968681e-01	5.797351e-01	9.140218e-01	5.326884e-01	9.027354e-01	6.935724e-01	1.624494e+00	1.268544e+00
LOC728324	1.189801e+00	9.359130e-01	1.496254e+00	1.259318e+00	1.346915e+00	1.481521e+00	1.240798e+00	2.381465e+00	1.036787e+00	7.003865e-01	1.043750e+00	6.048795e-01	1.295973e+00	1.048750e+00	1.115500e+00	1.601262e+00
LOC728344	2.652558e-01	1.231397e-01	3.443125e-01	1.130238e-01	0	1.854187e-02	2.113240e-01	7.417350e-01	1.585128e-01	5.867304e-02	0	0	1.783373e-01	2.296632e-01	8.915678e-02	1.867442e-01
LOC728361	2.189621e-01	5.318045e-01	2.392834e-01	3.425039e-01	7.606374e-01	1.100624e+00	6.582620e-01	5.777282e-01	8.026667e-02	1.396656e-01	4.095238e-02	0	0	1.246564e-01	5.649461e-01	5.193317e-01
LOC728368	9.784821e-01	7.733982e-01	1.068790e+00	1.013153e+00	6.036312e-01	1.292307e+00	1.118384e+00	2.362581e+00	8.770259e-01	7.380368e-01	9.314307e-01	4.782371e-01	1.006835e+00	1.155688e+00	1.377441e+00	1.277184e+00
LOC728380	1.321079e+00	1.386330e+00	1.721371e+00	1.417191e+00	2.031526e+00	1.196618e+00	1.316761e+00	2.609754e+00	1.351783e+00	8.441666e-01	1.370042e+00	7.685383e-01	1.531247e+00	1.310050e+00	1.298566e+00	1.373007e+00
LOC728395	2.736050e-01	2.670228e-01	2.582579e-01	1.655242e-01	1.160891e+00	0	4.566661e-01	5.479588e-01	1.798018e-01	0	1.252342e-01	1.072063e-01	1.827550e-02	0	3.866287e-01	0
LOC728411	1.105230e+00	1.014588e+00	4.114958e-01	1.044810e+00	2.524338e+00	8.169423e-01	1.968576e+00	7.816060e-01	8.187022e-01	8.089388e-01	4.031956e-01	3.653655e-01	1.382379e+00	6.330621e-01	2.502038e+00	6.867692e-01
LOC728428	1.273634e+00	1.229079e+00	1.468041e+00	1.380688e+00	2.361434e+00	1.406468e+00	1.520969e+00	2.336660e+00	1.189958e+00	8.373909e-01	1.047604e+00	6.440834e-01	1.352579e+00	1.000179e+00	1.424527e+00	1.232764e+00
LOC728448	7.888684e-01	8.933036e-01	1.145197e+00	1.165392e+00	4.932531e-01	1.371828e+00	1.706779e+00	5.319204e-01	8.795324e-01	8.473483e-01	1.342961e+00	3.681730e-01	1.017650e+00	8.655170e-01	2.494589e+00	1.445220e+00
LOC728449	8.686658e-01	4.571922e-01	5.086298e-01	6.845384e-01	4.481684e+00	1.140156e+00	1.413171e+00	8.555230e-01	6.332244e-01	3.851614e-01	3.585436e-01	1.382463e-01	4.493700e-01	1.111963e+00	1.582723e-01	1.034564e+00
